"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value","Flag and Footnotes"
"1975Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1975Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1975Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1975Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1976Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1976Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1976Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1976Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1977Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1977Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1977Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1977Q4","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1978Q1","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1978Q2","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
"1978Q3","Euro area (19 countries)","Price index (implicit deflator), 2010=100, euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices",":",""
