"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46"
"Variable","Top 1% income share","Top 0.50% income share","Top 0.25% income share","Top 0.1% income share","Top 0.05% income share","Top 0.01% income share","Top 0.005% income share","Top 1-0.5% income share","Top 0.5-0.1% income share","Top 0.1-0.05% income share","Top 0.05-0.01% income share","Top 0.1-0.01% income share","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Top 1% average income","Top 0.50% average income","Top 0.25% average income","Top 0.1% average income","Top 0.05% average income","Top 0.01% average income","Top 1-0.5% average income","Top 0.5-0.1% average income","Top 0.1-0.05% average income","Top 0.05-0.01% average income","Top 0.1-0.01% average income","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.95 income threshold","P99.99 income threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,,,,,,,
"Subvariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1923",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1925",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1929",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1934",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1935",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936",,,,,"3.8299521097293736","1.35839608585745","0.84844346895020928",,,,"2.4715560238719236",,"2840.6026224120933","1863.2536424026",,"30.337088355478102","1","16.281781323319727","10.679807205739117",,,,,"1247.168854588014","2211.7108020384449",,,,"1006.0333677254063",,,,,"785.25090157399791","1418.8381982948029",,,,,,,,"48.22881","87.14269","119.67323"
"1937",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,,"5.4399401117288875","3.7181350295016333",,,,,"1.7218050822272541",,,"3246.8585430399562","2129.73154321321",,"63.496122865337369","1","29.814143978699899","19.55617161131001",,,,"1621.8715772658986","2217.060262036186",,,,"1026.6828924956114",,,,,"872.35921068567143","1259.7126771805133",,,,,,,,"29.25991","42.25218",,
"1944",,,,,,,,,,,,,"3304.8951031296515","2167.79981475759",,"65.79116345083149","1","30.349279948706176","19.907186581664554",,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",,,,,,,,,,,,,"3362.9316632193459","2205.8680863019599",,"65.79116345083149","1","29.82552032888216","19.56363376942646",,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",,,,,,,,,,,,,"3420.9682233090402","2243.9363578463299",,"67.321190507827566","1","30.001381399444252","19.678987384077189",,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,,,,,,,,,,,"3479.0047833987355","2282.0046293907099",,"71.935949534573822","1","31.523139176882637","20.677163158222971",,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",,,"10.175735802951055","6.3919429520042339","4.4552380573431343",,,,,,,,"3567.3446976440982","2339.9499631338099",,"82.658477861425382","1","35.324891200119467","23.170869334834304",,,"1437.8270404816253","2257.9468933692001","3147.6159929255568",,,,,,,,,"1182.7058119640053","1649.4265674282185",,,,,,,"19.93628","33.48081","46.69304",,
"1949",,,"10.581305530323545","6.4306274774628545","4.3798105757064487",,,,,,,,"3626.8114549673005","2378.9563525915",,"96.367026734995122","1","40.508110470382675","26.570729670275615",,,"1714.5147733728691","2604.9256825094358","3548.3570128013434",,,,,,,,,"1441.6243259199271","1978.7563150175306",,,,,,,"22.65514","35.58854","48.84840",,
"1950",,"15.747709337307541","11.258914441387461","6.9750776044643938","4.8519261406211225",,,,"8.7726317328431467","2.1231514638432714",,,"3686.2782122905023","2417.9627420491802",,"112.24722691526897","1","46.422231808312091","30.450015015422057",,"1462.0876266128228","2090.6557444321652","3237.9866943541228","4504.7448003344562",,,"1018.1128596774978","1971.2285883737895",,,,"672.12298020774551","1718.9093869541293","2402.2586576704343",,,,,,"14.478471930929421","23.78825","37.02772","51.74802",,
"1951",,"15.380782853496108","11.002418858784907","6.920695230173207","4.8827726339985196",,,,"8.4600876233229005","2.0379225961746874",,,"3756.3030441099913","2463.8945531081699",,"139.66432466240843","1","56.684375752291743","37.181325101393718",,"1743.7001492639588","2494.6609791018582","3922.9528889423127","5535.538373971588",,,"1198.8869643443702","2310.3674039130374",,,,"787.02763489161771","1993.5794595525181","2813.1612911526777",,,,,,"13.88438391437694","22.30803","35.16982","49.62851",,
"1952",,"15.86322145865889","11.17107664805552","6.8253457533556636","4.6521725611754592",,,,"9.0378757053032253","2.1731731921802044",,,"3828.8099032641544","2511.4544153543902",,"145.22918113583771","1","57.826723928550578","37.930632443262922",,"1834.6362558146541","2583.9470612471387","3946.8738459620299","5380.3979672614278",,,"1306.5768582778098","2513.3497246626334",,,,"896.822328059965","2100.3020636949213","2863.1421715443012",,,,,,"15.508786718888985","24.11421","36.32061","49.51244",,
"1953",,"16.788310927235877","11.626311742081189","6.9838545186438852","4.7305658171526295",,,,"9.8044564085919923","2.2532887014912557",,,"3903.6947728455875","2560.5741003492399",,"148.48665809589389","1","57.989596190807994","38.037466230397655",,"1947.0947427922756","2696.8204924469501","4049.9090339150862","5486.472029814413",,,"1421.3911700115732","2613.3460380157603",,,,"983.79255942777309","2233.2636406991369","3025.4354844243194",,,,,,"16.96498379107036","25.78080","38.51145","52.17204",,
"1954",,"15.916002555842713","10.772500288942426","6.4016813928328435","4.3723384956354243",,,,"9.5143211630098694","2.0293428971974192",,,"3981.4360578394881","2611.5674111654298",,"171.83190964296313","1","65.796467251167741","43.158274337879753",,"2094.433481870014","2835.1698498983815","4212.0802011593605","5753.6885327819246",,,"1565.0218020476775","2670.4718695367974",,,,"1211.6554731252393","2499.6755968361831","3414.5491373199557",,,,,,"18.415205614306519","25.15511","37.99103","51.89563",,
"1955",,"14.776832220944774","9.8744608704781811","5.9050607711189738","4.066020962800021",,,,"8.8717714498258005","1.8390398083189528",,,"4061.9148817802507","2664.3563724445598",,"196.88574585466969","1","73.89617541065877","48.471164853257307",,"2183.9027716256187","2918.7395702821677","4363.6140655320769","6009.2679658097195",,,"1638.9749481490046","2717.9601652544325",,,,"1272.0626431507455","2674.2315451262534","3682.7670174185105",,,,,,"17.214187826116689","23.70619","36.18904","49.83704",,
"1956",,"14.777707068367581","9.7845227152587118","5.9641219060591206","4.1450836329737681",,,,"8.8135851623084598","1.8190382730853525",,,"4132.6526608874947","2710.7558313259801",,"210.28258882898498","1","77.573415649953319","50.883199263067617",,"2292.7144255354629","3036.0753901086955","4626.5730760571605","6430.9659112898526",,,"1709.2497629050386","2822.1802408244671",,,,"1342.0625170815799","2883.0185026280833","4007.4139989202804",,,,,,"17.300546918516247","24.04787","37.16503","51.65963",,
"1957",,"15.126888339307643","9.955521098716881","5.6285707239811051","3.6689568189131649",,,,"9.4983176153265383","1.9596139050679402",,,"4205.7237173302392","2758.6857709088399",,"223.90778708127161","1","81.164657984046485","53.238824547278284",,"2455.5374368455314","3232.1458601212566","4568.4101775094332","5955.7925073064434",,,"1927.3192516795561","3181.027847712422",,,,"1515.7899017437112","3020.6102437032268","4017.8409684807098",,,,,,"18.67549176442844","31.00614","37.21583","49.50235",,
"1958",,"15.227158482619666","9.9440829745000254","5.5427278867640872","3.5485895653018491",,,,"9.684430595855579","1.9941383214622381",,,"4280.9482222535307","2808.02823496573",,"226.2892064086864","1","80.586513907132442","52.85959900948432",,"2454.2072376514789","3205.435923672901","4466.6911793016488","5719.3692470980504",,,"1951.0862522389361","3214.0131115052482",,,,"1509.6641270088928","3012.9213809354128","4011.2247448032981",,,,,,"18.733458662185381","31.14924","37.38741","49.77538",,
"1959",,"15.487492195387857","10.096292608483036","5.5963245672826361","3.5402385565927763",,,,"9.8911676281052205","2.0560860106898597",,,"4358.6971741971074","2859.0265748105498",,"233.56395312120017","1","81.693522956035139","53.585726144010856",,"2530.4555983906657","3299.2068479278273","4571.834695067274","5784.2911958570539",,,"2020.1108242215134","3359.3781942774954",,,,"1486.1331342800297","2952.3128455168403","3869.0317414977631",,,,,,"18.191566240567436","25.88803","36.13889","47.36032",,
"1960",,"15.983933676809887","10.261886549570344","5.5813799382852771","3.5239568884924846","1.1835933207471421","0.73077493287335149",,"10.40255373852461","2.0574230497927926","2.3403635677453423","4.3977866175381353","4438.7707633221316","2911.54972796836",,"245.22094635859142","1","84.223512998248964","55.245237799813623",,"2692.4460915838936","3457.1685407771761","4700.8342578033607","5936.0005760643153","9968.6387434587577",,"2190.3490500290268","3465.6679395424053","4927.8410342157031","4115.5226482860935",,"1728.6926654108045","3102.241405404659","3964.0799365088319","6898.398734927543","3.0631537890777381","1.4846948420878578",,,"20.525060091553584","27.26604","36.83344","47.06619","81.90585","102.56043"
"1961",,"16.163192056067373","10.420068281415036","5.605547885996736","3.5041319315445096","1.1693121328488956","0.72169068932883307",,"10.557644170070638","2.1014159544522264","2.3348197986956141","4.4362357531478409","4546.2832929477563","2982.0710711679799",,"244.3401474292736","1","81.936393063084694","53.745033400865424",,"2648.7073149201287","3415.1312418008151","4592.9837492097204","5742.3186257587422","9580.921853054102",,"2162.6382063477313","3443.6488726606981","4782.6678189349032","4038.7684043381228",,"1672.3979943778318","3118.5128003500299","3895.1341343170675","6701.2762912088237","3.1317294108286715","1.4691026895441048",,,"20.410930135650645","28.10323","38.06017","47.53851","81.78632","104.92403"
"1962",,"15.452668114866896","9.996738004209778","5.3579537593518758","3.3124240922498602","1.0645509472703278","0.64697249674684354",,"10.09471435551502","2.0455296671020156","2.2478731449795326","4.2934028120815482","4658.3420495975633","3055.5744485300602",,"265.42495142862214","1","86.865810635479576","56.978416055032355",,"2684.6170845578818","3473.4990017847545","4654.2299665351593","5754.7280788355338","9247.3080997404704",,"2192.2138640635621","3553.7318542347848","4881.5830736093003","4143.8879517345695",,"1671.5215810340299","3246.6882392180387","3982.2240703116427","6671.5298956496381","3.3538196990593656","1.4248413760831471",,,"19.242571603324354","26.78514","37.37590","45.84340","76.80271"," 91.98080"
"1963",,"15.30596806970625","10.030794684350036","5.437118465787977","3.3969738735623896","1.1207381740322531","0.70323988421719241",,"9.8688496039182727","2.0401445922255874","2.2762356995301367","4.3163802917557241","4774.2802731961583","3131.6225080894601",,"281.73604271228521","1","89.964879861642927","59.011207258612828",,"2753.999157114531","3609.6769547774302","4891.4970956813559","6112.1669285636035","10082.707518316871",,"2219.6246724728244","3670.8272627991096","5119.531781125288","4314.6959376107443",,"1653.6350972753098","3337.3733701827532","4102.719326632312","6918.3763997733286","3.183340998463938","1.458013659205565",,,"18.380895965386014","26.22954","37.09640","45.60357","76.90086"," 94.85794"
"1964",,"14.948834933114473","9.8686148043945376","5.3194527586399332","3.2914492661187515","1.0876558169094992","0.67964783865747302",,"9.6293821744745394","2.0280034925211816","2.2037934492092521","4.2317969417304342","4895.0339853510841","3210.8292201550998",,"305.60287756087467","1","95.178801676070606","62.431206499367356",,"2845.624390774437","3757.1317251400083","5062.9913913981682","6265.5239385352952","10352.177728945377",,"2291.282640618504","3860.458844261042","5243.8604909327742","4475.3040205595908",,"1659.3361070750866","3562.6122724431475","4358.676793565849","7216.8246661342555","3.2193207611172716","1.4505883140103508",,,"17.433883153125144","25.70064","37.43073","45.79462","75.82387"," 92.78630"
"1965",,,"10.580559516578182","5.7973984278071953","3.6203110970471566","1.1865287390508992","0.73389323659712502",,,"2.1770873307600387","2.4337823579962574","4.6108696887562957","5018.8815263103907","3292.0652860427899",,"307.4174235772918","1","93.381326573514372","61.2521777941406",,,"3952.1067341923704","5413.6875586384249","6761.3890570215717","11079.962767017221",,,"4065.9860602552776","5681.7456295226584","4784.1014243741138",,,"3696.3404461455034","4609.3592487076303","7698.9959019777543","3.2149677233456981","1.451473847433544",,,,"26.66252","39.58329","49.36061","82.44685","101.25063"
"1966",,,"9.2838462988780712","4.967559121775186","3.0370305608438786","0.93640627642519503","0.56441458522823895",,,"1.9305285609313074","2.1006242844186835","4.0311528453499914","5168.6131863647788","3390.2796785727901",,"352.82736342691595","1","104.07028235955038","68.263449150674148",,,"3864.6900228276299","5169.7528044090368","6321.2925600321214","9745.2065590825223",,,"4018.2130487859522","5465.3140602695203","4661.3690538897608",,,"3657.7833531889692","4597.9317292387077","7094.0550847818477","3.6321203771613257","1.3799218336201151",,,,"25.10359","35.14724","44.18102","68.16600"," 82.38953"
"1967",,,"9.429760698349277","5.094054161523089","3.1420367294058904","0.99009394876510404","0.59790857347768334",,,"1.9520174321171986","2.1519427806407863","4.1039602127579853","5324.1247858525021","3492.2853417004699",,"375.69434638890806","1","107.57836477530621","70.564526847157964",,,"4057.7529446034587","5480.1001677349741","6760.3034682687394","10651.268798207569",,,"4199.8968672012097","5787.5621357840309","4905.5258754602428",,,"3839.3059814554035","4806.5449712629852","7876.1947475043089","3.4648492155139596","1.4057043301902281",,,,"25.06160","35.68846","44.67948","73.21356"," 87.00160"
"1968",,,"9.4761903158004763","5.1169153474374465","3.1501243501933729","0.97330582136418886","0.57849164307921153",,,"1.9667909972440736","2.1768185288291839","4.1436095260732575","5484.8329589160358","3597.6996247339098",,"410.0318523832517","1","113.97056317995924","74.757400171451351",,,"4320.0269883690244","5831.7772389162265","7180.4289255688373","11092.821260720941",,,"4483.1255522636147","6202.3308417808103","5247.2167920490356",,,"4047.5970837342861","5143.885639655884","8393.1014307408732","3.5811348704074861","1.3874264810664965",,,,"24.76308","35.51441","45.13346","73.64271"," 87.74195"
"1969",,,"8.8756357935848005","4.8242053545522738","2.9697534156842287","0.93771873929147254","0.56642664740179804",,,"1.8544519388680452","2.0320346763927564","3.8864866152608011","5652.7566244338395","3707.84680933236",,"440.98097142857142","1","118.93182057000222","78.011667709599749",,,"4222.3820945892667","5737.5152562045496","7063.9636074261571","11152.45968465421",,,"4411.0669049829421","6041.8395881191454","5135.8547641545874",,,"3965.5355451225496","5092.8313053341744","8085.5673311272967","3.4644415601252101","1.4057714397371197",,,,"22.93464","33.34293","42.82144","67.98489"," 83.61936"
"1970",,,"8.9769359548330669","4.9300711482437487","3.0606597146486774","0.98403240473288955","0.60638438711378817",,,"1.8694114335950713","2.0766273099157879","3.9460387435108593","5821.0903635414852","3818.26297597844",,"480.42883150996761","1","125.8239242641103","82.532446931072926",,,"4518.0532388187385","6203.2089877329672","7702.0843226833722","12381.481876654143",,,"4704.3336527825622","6532.2349341906802","5516.7342222972811",,,"4230.2762414100471","5457.0274379703687","8624.8881984766085","3.3315985323459953","1.4288903025658648",,,,"22.61106","33.62060","43.37035","68.54728"," 83.91601"
"1971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
