"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37"
"1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952",,,,"1.7590227801938647","0.70146761383165768","0.4776145253739974",,"1.0575551663622069",,"18078.904661377255","11437.355261377252","104.163","491.6","1","42.981964690742934","27.191912851348029",,,"1512.1251005701033","3015.0456209412005",,"1136.3949704773286",,,,,"816.31872111345353","1707.700532931337",,,,,,"18.99212","39.73063","53.11902"
"1953",,,,"1.7779577412736256","0.63634338135013147","0.41259373069922761",,"1.1416143599234942",,"18502.434458608692","11713.51445860869","125.196","532","1","45.417624392738404","28.752973085251195",,,"1615.0123375865419","2890.1204678965369",,"1296.2353050090433",,,,,"997.65895791183016","1841.9152096661924",,,,,,"21.96634","40.55508","51.68660"
"1954",,,"2.2294511765428626","1.6066641183323971","0.56560604114545421","0.36411778522592808","0.62278705821046554","1.0410580771869429","1.6638451353974084","19064.413183547396","12077.740183547397","124.44499999999999","619.36","1","51.281116383320438","32.487755801186061",,"1143.287452552252","1647.8305928221714","2900.4909223089162","638.74431228233288","1334.6655104504853","948.04262257928951",,,"346.2015855567227","1029.2160386015421","1881.0336683328132","2.4733125041995825","1.678742627344548",,," 6.751054","20.07008","36.68083","46.66102"
"1955",,,"2.2990059802672516","1.6224601768088545","0.57592261382656551","0.3774957666835953","0.6765458034583971","1.0465375629822891","1.7230833664406862","19644.730860624357","12454.069260624359","131.62100000000001","662","1","53.155317041075456","33.698603696673914",,"1222.0439176043421","1724.8477016958798","3061.3349129075955","719.24013351280439","1390.7258988929509","1017.6782514595363",,,"426.23270697897539","1081.4255140662403","1949.4536900294484","2.5073714801358058","1.6634064748988786",,," 8.018628","20.34463","36.67467","46.50776"
"1956",,,,"1.7028647197763318","0.58510749323593836","0.37241049463409492",,"1.1177572265403934",,"20214.888493388804","12813.847093388802","122.697","696.48","1","54.353699940694867","34.453813595250892",,,"1851.1399603663635","3180.2757120398342",,"1518.8560224479959",,,,,"1160.2227077032189","2145.7029532383326",,,,,,"21.34579","39.47667","48.34017"
"1957",,,"2.5769230769230771","1.7684444036432536","0.57635159912395917","0.35901588423755654","0.80847867327982348","1.1920928045192944","2.0005714777991179","20802.643341169398","13184.682341169399","138.10400000000001","728","1","55.215588905529216","34.995552635335251",,"1422.8632525655607","1952.9139838769934","3182.3592962272901","892.812521254128","1645.5526557894193","1227.3636921587017",,,"500","1287.1551909673838","2252.7492713152014","2.8605260606086773","1.5374823933790245",,," 9.055414","23.31145","40.79915","48.87250"
"1958",,,"3.0721947015546354","2.0772757053568593","0.68557567275141262","0.42859685800566427","0.99491899619777602","1.3917000326054467","2.3866190288032225","21408.365984228127","13566.805384228124","157.09599999999998","691.92","1","51.000952722767046","32.320075269161045",,"1566.8485672912338","2118.860800821155","3496.5012473873999","1014.8363337613124","1774.4506891795936","1352.442713947215",,,"606.91533477814789","1407.5804884014283","2420.7585777193708","2.8685625004626885","1.5351707527858354",,,"11.900078","27.59910","47.46497","57.45856"
"1959",,,"3.2726915806337384","2.1893423620223436","0.72190013602641467","0.44514872231643726","1.0833492186113949","1.4674422259959288","2.5507914446073237","22032.467051138905","13960.471851138906","153.76300000000001","722.4","1","51.746101972983531","32.787975959444708",,"1693.4903225759808","2265.7986623796164","3735.5518053133533","1121.1819827723455","1898.3603766461817","1466.5946022718281",,,"693.66816241379706","1503.1820154599691","2596.1613818285382","2.9105976931867192","1.5233964238343043",,,"13.405225","29.04918","50.17115","61.70281"
"1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
