"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143"
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2316.8000000000002","1669.15",,"3365.0114803716215",,"0.10830791721728905","18613.625813183542",,"13410.278628312893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2335.46","1683.57",,"3881.8188852468807",,"0.12532721027904845","18397.496019569815",,"13262.257702408582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2354.12","1697.99",,"4305.5496263146069",,"0.15627246010922752","16225.983202558695",,"11703.548339979541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2372.7800000000002","1712.41",,"5405.2361082260113",,"0.19650046194945237","16063.616905235012",,"11592.940864594901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2391.44","1726.83",,"6277.9421821215137",,"0.21352066938788733","17026.594940855339",,"12294.69898543021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2410.1","1741.25",,"6792.2971352678969",,"0.21738711116039303","17944.103086720424",,"12964.262686092668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2439.58","1761.11",,"5815.8101192078047",,"0.19084412783458407","17303.937354802765",,"12491.550641879627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2469.06","1780.97",,"5456.630600260457",,"0.16313714300081719","18780.843681089398",,"13546.904154094995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2498.54","1800.83",,"5529.1736129775309",,"0.15664003953279315","19601.293233850149",,"14127.689328293467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2528.02","1820.69",,"5903.2204106911568",,"0.16175186233737954","20044.891157858532",,"14436.409871045897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2557.5","1840.55",,"6272.6542680424009",,"0.16074833393597837","21201.044165185995",,"15257.705508595536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2586.98","1860.41",,"6357.3486574831632",,"0.15601917777010393","21902.282694217978",,"15750.88549086196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2616.46","1880.27",,"6529.0893463786388",,"0.15300950694257584","22694.153034645682",,"16308.728253614898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2645.94","1900.13",,"6876.5047863804039",,"0.15386947820591781","23519.709524171816",,"16890.218847806296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2675.42","1919.99",,"7224.9477479276675",,"0.15372637825619634","24478.643551129291",,"17566.868316650365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2704.9","1939.85",,"7172.9697065756691",,"0.15133756919135744","24433.410613760047",,"17522.700129062967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2730.0545454545454","1955.0772727272729",,"6586.3603827459829",,"0.14350318983536139","23475.778766572017",,"16811.737920224132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2755.2090909090912","1970.3045454545459",,"5814.1151969448765",,"0.13285024437702436","22212.012819794003",,"15884.24993476431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933","31.16","21.92","9.9789999999999992","7.19","3.2669999999999999",,"0.94","9.2399999999999984","11.941000000000003","2.7889999999999988","3.9230000000000005",,,"2.327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2780.363636363636","1985.5318181818182","272.39999999999998","5858.6678038180162",,"0.12606694100955743","23405.655449343343",,"16714.602727595822","72932.022380153852","102610.39348992122","233565.03572899717","336573.3253615573","764662.76353004691","2200131.612238274","17902.725790364399","43253.651270386486","69871.732930152226","130556.74609643711","229550.96581943484","605166.22478468844",,,,,,,,,,,,,,,,,,,,,,,,,"1.9415134155550204","2.0621197568496692",
"1934","30.92","21.59","9.6890000000000001","6.94","3.1429999999999998",,"0.91","9.3300000000000018","11.901","2.7489999999999997","3.7970000000000006",,,"2.2329999999999997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2805.5181818181818","2000.7590909090911","264.10000000000002","5791.838893508304",,"0.12410834617055838","23324.948079848098",,"16634.21831238841","72120.739462890313","100717.12580878408","225995.42194564818","323750.27934829163","733103.1181496256","2122570.275266177","17903.193481732294","43524.35311699655","69397.551774568055","128240.56454300482","221412.06964795812","578717.87847000884",,,,,,,,,,,,,,,,,,,,,,,,,"1.9566966397338552","2.0452634183790916",
"1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2830.6727272727267","2015.9863636363632",,"5710.1591142408806",,"0.12243595123100229","23134.049483782375",,"16475.916783191125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936","30.47","21.46","9.9359999999999999","7.21","3.3490000000000006",,"0.98","9.009999999999998","11.524000000000001","2.726","3.8609999999999993",,,"2.3690000000000007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2855.8272727272724","2031.2136363636362","271.5","5702.7336797620237",,"0.12492031265843473","22474.726960050873",,"15985.200614464607","68480.493047275013","96461.528112538363","223308.88707506546","324085.56276393362","752678.60589210398","2202523.2420849856","17362.975172581526","40499.457982011663","64749.688371906574","122532.21138619735","216937.30198189104","591584.75742622814",,,,,,,,,,,,,,,,,,,,,,,,,"1.8950033065525149","2.1173143078676708",
"1937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.9818181818182","2046.4409090909096",,"6274.4921346339979",,"0.12960237842551897","23657.366534311321",,"16804.480462749507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2906.1363636363631","2061.6681818181814",,"6333.8956104648514",,"0.130939654313491","23462.859663241117",,"16644.99705775754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939","32.94","23.77","11.783999999999999","8.7799999999999994","4.359",,"1.52","9.1699999999999982","11.986000000000001","3.0039999999999996","4.4209999999999994",,,"2.839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2931.2909090909093","2076.8954545454549","677.23400000000004","6415.5753897322766",,"0.13275469201443077","23268.645192735319",,"16486.437181770743","76646.917264870135","110619.1392462637","274197.71495119296","408597.4095844322","1014280.2439513325","3536834.0692957691","17337.726073609228","42674.695283476562","69724.49532003139","139798.02031795378","257176.70099270708","733996.4855797285",,,,,,,,,,,,,,,,,,,,,,,,,"1.760271648778204","2.3153193356704174",
"1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2956.4454545454541","2092.1227272727269",,"6957.6321066888204",,"0.14527067994917328","22892.664022997513",,"16199.948020923463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2981.6","2107.35",,"7759.5790304053562",,"0.1658601567405647","22200.329364860016",,"15690.858628601338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3014.3666666666668","2124.5166666666669",,"8331.3374852773286",,"0.18434702436656006","21272.496109925869",,"14992.792027227171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943","32.590000000000003","22.7","10.535","7.67","3.71",,"1.43","9.8900000000000041","12.164999999999999","2.8650000000000002","3.96",,,"2.2800000000000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3047.1333333333337","2141.6833333333338","1139.5","8992.2011538955849",,"0.19399689861183361","21642.925744850803",,"15211.770632173811","70534.295002468774","98258.882881622645","228008.22272200321","332002.48092601134","802952.54513396462","3094938.3815136645","16210.551382893251","42809.707123314911","65821.547921527497","124013.96451799512","214264.96487402296","548287.45220288704",,,,,,,,,,,,,,,,,,,,,,,,,"1.8290250446055911","2.2062361764664784",
"1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3079.9","2158.85",,"9400.6000502327079",,"0.19796163587695959","21996.423569457365",,"15418.350927927217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945","33.24","23.36","10.486000000000001","7.5","3.4430000000000001",,"1.1000000000000001","9.8800000000000026","12.873999999999999","2.9860000000000007","4.0570000000000004",,,"2.343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3112.6666666666665","2176.0166666666664","1366.5","10024.336546456683",,"0.19929936895326933","23114.659367479257",,"16159.097460256258","76833.127737501054","107991.68856486307","242380.31812738749","346719.89051218884","795837.72202231083","2542612.5304227183","17145.940659699056","45674.566910139016","74394.531174231975","138040.74574258615","234440.43263465838","601751.6322000433",,,,,,,,,,,,,,,,,,,,,,,,,"1.9367564974423039","2.0675132787766879",
"1946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3145.4333333333334","2193.1833333333334",,"11004.493897665778",,"0.19915626900354788","25194.233810627811",,"17566.919350668824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947","31.58","21.95","10.010999999999999","7.15","3.2610000000000001",,"1.03","9.629999999999999","11.939","2.8609999999999989","3.8890000000000002",,,"2.2309999999999999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3178.2","2210.35","1203","12341.072103860004",,"0.20804172434807305","26837.459191349273",,"18664.708930715144","84752.696126281007","117816.4458500233","268669.80396459758","383775.66643629462","875169.54422989977","2764258.2967089745","20402.432865245748","51688.946402538691","80103.106321379746","153563.94149290049","260927.19698789335","665270.79395444691",,,,,,,,,,,,,,,,,,,,,,,,,"1.9497991551053433","2.052854168825923",
"1948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3210.9666666666662","2227.5166666666664",,"12831.150779464551",,"0.21441721571825079","26864.885504302645",,"18636.749122982448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949","32.29","22.22","9.875","7.13","3.2320000000000002",,"0.96","10.07","12.344999999999999","2.7450000000000001","3.8979999999999997",,,"2.2720000000000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3243.7333333333331","2244.6833333333329","963.1","12355.922972817716",,"0.21212350182766765","25949.63910348705",,"17957.309191552631","83791.384665159669","115320.19617589645","256252.68614693463","370041.85361572535","838692.33582470159","2491165.3539347569","19522.778485523424","52262.573154422913","80087.073683136899","142463.51867814391","252879.23306348131","655084.2227013621",,,,,,,,,,,,,,,,,,,,,,,,,"1.9419955154750794","2.0615761790497134",
"1950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3276.5","2261.85",,"12987.084903520548",,"0.2086502420256425","27518.767987631378",,"18996.894665900818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951","31.29","21.65","9.9097499999999989","7.18","3.3659999999999997",,"1.07","9.64","11.74025","2.7297499999999992","3.8140000000000001",,,"2.2959999999999994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3321.55","2286.7750000000001","1092","14204.856158053059",,"0.21841441335535822","28440.164901348075",,"19580.093056639296","88989.275976318109","123145.91402283717","281834.92413113406","408400.76798335835","957295.95057937608","3043097.6444442435","21712.485893018067","54832.637929799093","83473.661495762935","155269.08027890977","271176.97233435389","725540.20681661286",,,,,,,,,,,,,,,,,,,,,,,,,"1.8830568472911613","2.1324299257375898",
"1952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3366.6","2311.6999999999998",,"15051.355688642736",,"0.22391896094208749","29077.24633991512",,"19966.099436815119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953","30.33","21.16","9.7800499999999992","7.08","3.2990000000000004",,"1.05","9.1699999999999982","11.379950000000001","2.7000499999999992","3.7809999999999997",,,"2.2490000000000006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3411.65","2336.625","1146.7","15704.793922782132",,"0.222280855127864","30237.17156696149",,"20709.313972022741","91709.341362594205","127963.71007138101","295721.04978346167","428158.34938817471","997524.28999405971","3174903.0145309567","23406.930478557853","55454.972653807359","86024.375143360856","163283.75017874868","285816.86423670343","755593.32060107123",,,,,,,,,,,,,,,,,,,,,,,,,"1.8937914757551748","2.1188291980017917",
"1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3456.7","2361.5500000000002",,"16751.78018430094",,"0.22437797803320678","31614.301471639184",,"21598.273972386822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955","29.72","20.92","9.7815499999999993","7.06","3.2429999999999999",,"0.97","8.7999999999999972","11.138450000000002","2.7215499999999997","3.8169999999999997",,,"2.2729999999999997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3501.75","2386.4749999999999","905.3","17887.871659566037",,"0.22621267483267063","33134.837574289457",,"22581.698150953791","98476.737270788261","138636.16041082708","324110.07047479099","467863.90654896712","1074562.7825342072","3214079.244706077","25874.626496900702","58317.314130749422","92267.682894836107","180356.23440061492","316189.18755265715","836838.73118177697",,,,,,,,,,,,,,,,,,,,,,,,,"1.921084649545121","2.0856765450318289",
"1956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3546.8","2411.4",,"19127.91921753512",,"0.22935813059651589","34584.725434143722",,"23513.478885726337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1957","30.99","21.79","10.106","7.24","3.3079999999999998",,"1.03","9.1999999999999993","11.683999999999999","2.8659999999999997","3.9320000000000004",,,"2.2779999999999996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3591.85","2436.3249999999998","955.94","20315.988734152208",,"0.23414214936292241","35614.195706536651",,"24156.842672920051","110368.39249455708","155206.66488908671","359917.06181025942","515693.55383065075","1178117.5939722324","3668262.1577732754","27308.173841201045","65530.120100027438","104029.06565879355","204140.56978986805","350087.5437952553","901434.86466100544",,,,,,,,,,,,,,,,,,,,,,,,,"1.9417995791917244","2.0617970342036305",
"1958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3636.9","2461.25",,"21177.339133699596",,"0.23813934700002989","36131.376222110914",,"24451.689550625666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1959","31.47","22.35","10.535","7.58","3.5049999999999999",,"1.0900000000000001","9.1199999999999974","11.815000000000001","2.9550000000000001","4.0750000000000002",,,"2.415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3681.95","2486.1750000000002","1185.4000000000001","22622.931188640265",,"0.23689442315628706","38411.595126144151",,"25936.785538299391","120881.28986197563","171699.83021386436","404666.15465392865","582319.78211234533","1346326.4091713526","4186863.8687497126","29248.295711051764","70062.749510086898","113458.24910384828","227012.52719551194","391318.12534759357","1030711.135884868",,,,,,,,,,,,,,,,,,,,,,,,,"1.9155125553078423","2.0922843102503914",
"1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3727","2511.1",,"24380.241206910458",,"0.23977791000259124","40491.588959937675",,"27281.574734987789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1961","31.56","22.7","10.866","7.85","3.6160000000000005",,"1.06","8.86","11.834","3.016","4.2339999999999991",,,"2.5560000000000005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3789.57","2546.3200000000002","1285.2","27212.978198667515",,"0.24600298640964308","43443.290582782734",,"29190.784093380338","137107.0250792623","197232.53924583361","472054.79547251714","682059.66214968893","1570909.3874734237","4604988.8017749693","33036.208972062777","76981.510912690996","128526.97518916269","262049.92879534542","459847.23081875511","1233789.4525510299",,,,,,,,,,,,,,,,,,,,,,,,,"1.9151264923481324","2.0927451104973365",
"1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3852.14","2581.54",,"30221.056544797437",,"0.25478374562481937","45947.201689806214",,"30791.855708853349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1963","31.72","22.83","10.91","7.88","3.6349999999999998",,"1.1200000000000001","8.89","11.919999999999998","3.0300000000000002","4.2450000000000001",,,"2.5149999999999997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3914.71","2616.7600000000002","1299.0999999999999","32979.760520263728",,"0.26408935705175351","47723.546045426046",,"31900.464236132193","151379.08805609139","217905.71124341528","520663.8873555981","752123.08567591454","1734750.8987512367","5345037.1570877172","36206.263599796563","84852.464868767507","142216.16721536958","289204.68903528189","506466.13240708393","1333607.9811582945",,,,,,,,,,,,,,,,,,,,,,,,,"1.9132177272525812","2.0950291153551119",
"1964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3977.28","2651.98",,"36291.763880639926",,"0.27195345364970447","50320.303712073561",,"33552.689033295326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965","31.6","22.6","10.672000000000001","7.67","3.4980000000000002",,"1.05","9","11.928000000000001","3.0020000000000007","4.1719999999999997",,,"2.4480000000000004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4039.85","2687.2","1530.6","39077.743177897552",,"0.28184838084402186","51595.751128763899",,"34320.11149750965","163042.57356689393","233212.79510201284","550629.85604616837","791478.82231523818","1804819.3744841614","5417553.8685202086","39212.77085786056","92872.352031775008","153858.52986597395","309780.88977709849","538143.68427300744","1403404.4307023783",,,,,,,,,,,,,,,,,,,,,,,,,"1.9395858250592719","2.0642987296417727",
"1966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4102.42","2722.42",,"42093.614473110712",,"0.29586668965667068","52259.472287470853",,"34680.074820436814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1967","32.29","23.01","10.859","7.81","3.5790000000000002",,"1.08","9.2799999999999976","12.151000000000002","3.0490000000000004","4.2309999999999999",,,"2.4990000000000001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4164.99","2757.64","1783.95","44809.457228619205",,"0.30717112849632749","52899.51864043282",,"35024.77282865101","170812.54568995754","243443.58478327183","574435.87291646004","826290.48116356065","1893273.7721410906","5713148.0131667443","39798.071190485629","98181.506596643274","160695.51274997482","322581.26466935937","559544.65841917822","1468843.3009160182",,,,,,,,,,,,,,,,,,,,,,,,,"1.9306067897987151","2.0745677024517457",
"1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4227.5600000000004","2792.86",,"48199.390079827775",,"0.31560945364651538","54681.745999691768",,"36124.492883057639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1969","32.700000000000003","23.32","11.000999999999999","7.92","3.6580000000000004",,"1.1399999999999999","9.3800000000000026","12.319000000000001","3.0809999999999995","4.2619999999999996",,,"2.5180000000000007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4290.13","2828.08","1817.683","52172.093162316487",,"0.32301041845830719","57112.351285356628",,"37648.812139280482","186757.38870311619","266372.00639490329","628292.97649020818","904659.64436004881","2089169.8100183457","6510808.0465306547","42707.347127827794","107142.77101132907","175891.7638710771","351926.30862036749","608532.10294547491","1597876.6726280893",,,,,,,,,,,,,,,,,,,,,,,,,"1.9164007119961426","2.0912256908026161",
