"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46"
"1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1929",,,,,,,,,,,,,,,"2.5779999999999998",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930",,,,,,,,,,,,,,,"2.411",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931",,,,,,,,,,,,,,,"2.762",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932",,,,,,,,,,,,,,,"2.5590000000000002",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933",,,,,,,,,,,,,,,"2.4260000000000002",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1934",,,,,,,,,,,,,,,"2.149",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1935",,,,,,,,,,,,,,,"2.2280000000000002",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938",,,,"8.012268283434322","4.8874960740442495","1.5307099376612661",,,,"3.1247722093900725","3.3567861363829836","6.4815583457730561","1166.7186308815403","777.884091877895","2.2269999999999999","7.5645638986858685","1","9.724538626859184","6.483623127686144",,,,"779.15612411015786","950.57288721331838","1488.5447915304194",,,"607.73936100699757","816.07991113404296","700.33516106346224",,,"355.84429523832654","551.55679432711975","1188.8763799510898","3.5569793727859338","1.3910864556214464",,,,,"36.59241","56.71804","122.25530",
"1939",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,,,,,,,,,,,"1305.2901643610267",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",,,,,,,,,,,,,"1336.8248257015412",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",,,,"7.3032250872644147","5.1663848652018771","1.7218280811662239","1.1134286533726772",,,"2.1368402220625375","3.4445567840356532","5.5813970060981912","1350.1319964655079","901.51188833428102","2.3950000000000005","12.247389169300931","1","13.585388421144804","9.071253182180115",,,,"992.17149537536227","1403.7469025378268","2339.170327707759",,,"580.59608821289771","1169.8910462453437","842.5049584495406",,,"444.34329562190038","743.456299911727","1707.1623158384402","2.6847432181480846","1.5935622646988465",,,,,"32.70744","54.72470","125.66165","140.62930"
"1946",,,,,,,,,,,,,"1400.8141239685535","935.55150331241703",,"15.609417568716873","1","16.684722875704985","11.143104071862775",,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,,,,,,,,,,,"1426.5834297462843","952.96341273534904",,"18.971445968132816","1","19.907842960809919","13.298518384940765",,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",,,,,,,,,,,,,"1464.7495277550863","978.66528571377398",,"22.333474367548753","1","22.820339797033046","15.247299244245275",,,,,,,,,,,,,,,,,,,,,,,,,,
"1949",,,,,,,,,,,,,"1496.8810529509742","1000.3449319303199",,"23.594235017329733","1","23.586099418528583","15.7622644570293",,,,,,,,,,,,,,,,,,,,,,,,,,
"1950",,,,,,,,,,,,,"1529.0393613328706","1022.05136133287",,"24.854995667110714","1","24.31873446623759","16.255301397502613",,,,,,,,,,,,,,,,,,,,,,,,,,
"1951",,,,,,,,,,,,,"1556.5386091354233","1040.65176913542",,"28.457168952199222","1","27.345524983675968","18.282340563338618",,,,,,,,,,,,,,,,,,,,,,,,,,
"1952",,,,,,,,,,,,,"1585.3244420840606","1060.12008208406",,"35.661515522376241","1","33.639128363902209","22.494774303420041",,,,,,,,,,,,,,,,,,,,,,,,,,
"1953",,,,"5.0836654666336747","3.4562536338197689","1.387067264582531","0.94341153469463412",,,"1.6274118328139058","2.0691863692372379","3.6965982020511436","1615.4495640353127","1080.49208403531","1.6860000000000002","39.123798582801115","1","36.209241290029262","24.218520623492456",,,,"1840.7566951912793","2502.9664357304086","5022.4653268769725",,,"1178.5469546521495","1873.0917129437682","1487.2335138928693",,,"902.58043216571025","1476.3136333902298","2753.8871777711911","2.2939959599894739","1.7727999398144447",,,,,"24.92680","40.77174"," 76.05482","110.46702"
"1954",,,,"3.9256120875144362","2.6572050379119738","1.0551265406586392","0.70976205535528747",,,"1.2684070496024624","1.6020784972533346","2.870485546855797","1646.9705720884886","1101.80619208849","1.8189999999999997","55.39652896679803","1","50.277924887854454","33.635409099356806",,,,"1973.7162967490433","2671.9751061553329","5304.9572958416766",,,"1275.4574873427534","2013.7295587337471","1603.578407960973",,,"980.18009873894766","1560.4735016498732","2962.6204226482851","2.3288463014325282","1.7525324779261349",,,,,"19.49524","31.03695"," 58.92487"," 83.98018"
"1955",,,,"4.0423323931469506","2.6934030547564354","1.0162681839681265","0.65873902133275319",,,"1.3489293383905152","1.6771348707883089","3.0260642091788243","1680.0186872830545","1124.15078728305","1.9590000000000001","58.71682565565974","1","52.232161663625135","34.950102698332046",,,,"2111.397590569602","2813.6452756267986","5308.1884078621906",,,"1409.1499055124057","2190.00949256795","1756.1986108704257",,,"1114.1040960705777","1693.4924265215752","3110.323452274401","2.4976502879597478","1.6677126215909204",,,,,"21.32985","32.42241"," 59.54805"," 84.59520"
"1956",,,,"4.2808536428754822","2.8038494761434847","1.0667679602821649","0.70550376413756832",,,"1.4770041667319975","1.7370815158613198","3.2140856825933173","1714.0160043061676","1146.67202430617","2.4570000000000003","63.784646917606565","1","55.625885663515227","37.213565542771313",,,,"2381.2627528083422","3119.332207553291","5933.9912588157049",,,"1643.1932980633933","2415.6674447376872","1986.5151410297462",,,"1389.869000689893","1908.4716617531858","3499.9923950255502","2.5218163380912473","1.6571095177321198",,,,,"24.98601","34.30906"," 62.92021"," 84.96959"
"1957",,,,"4.6503645658446233","3.0305962599781897","1.1498886620344326","0.76149365383377599",,,"1.6197683058664336","1.8807075979437571","3.5004759038101909","1751.0138260775589","1171.19098607756","2.8889999999999998","66.930191149159768","1","57.147119423550144","38.223679420675907",,,,"2657.5493920736858","3463.7969278707606","6571.2824693068014",,,"1851.3018562766115","2686.9255425117503","2222.6901612700071",,,"1581.5033390018898","2137.526535893639","3829.4092023126632","2.543436871876732","1.6479046977697613",,,,,"27.67424","37.40392"," 67.00966"," 89.11289"
"1958",,,,"4.1382744191438912","2.6373022737836584","0.95948104612285601","0.63060456346374905",,,"1.5009721453602327","1.6778212276608024","3.1787933730210352","1790.2266047437267","1197.1811447437301","2.7970000000000006","71.473755039181057","1","59.70170458580084","39.924417864079622",,,,"2470.6203686670515","3149.0288250578565","5728.2653971301897",,,"1792.2119122762467","2504.219682039773","2108.6598099489247",,,"1559.1348177593622","2018.6972486792763","3461.0834448074829","2.738097320439437","1.5753417764588542",,,,,"26.11542","33.81306"," 57.97294"," 75.32893"
"1959",,,,,,,,,,,,,"1830.4382447780956","1223.8285247781","5.3225116290991057","74.968804185351274","1","61.257604858445617","40.956751422356646",,,,,,,,,,,,,,,,,,,,,,,,,,
"1960",,,,,,,,,,,,,"1873.3495902521963","1252.2696702522001",,"78.988110703447049","1","63.075959260068387","42.164106002667346",,,,,,,,,,,,,,,,,,,,,,,,,,
"1961",,,,,,,,,,,,,"1917.0999681149719","1281.3298881149699",,"82.308407392308752","1","64.2367029410333","42.933810839942893",,,,,,,,,,,,,,,,,,,,,,,,,,
"1962",,,,,,,,,,,,,"1968.9311463909282","1315.7817063909299",,"85.45395162386194","1","64.945386616032522","43.401188396303212",,,,,,,,,,,,,,,,,,,,,,,,,,
"1963",,,,,,,,,,,,,"2021.4011402505389","1350.6502202505401",,"88.774248312723657","1","65.727045375416594","43.917185236039145",,,,,,,,,,,,,,,,,,,,,,,,,,
"1964",,,"7.7436729100679562","4.6085335493609163","2.9014978652566383","0.95192093239697917","0.5965943623807517",,,"1.707035684104278","1.9495769328596593","3.6566126169639372","2069.5110149365814","1382.5955549365799","6.012999999999999","88.424743398106628","1","63.955610939428126","42.727360598666024",,,"1981.0053275139819","2947.4157868422853","3711.3413722386963","6088.0684797478862",,,"2183.4902014458748","3117.1595953613987","2598.4543765194412",,,"1880.3427271450198","2535.0321225988428","4136.2866566731136","3.1742190087083899","1.4599352668681049",,,,"13.564176","29.40075","39.63737"," 64.67434"," 79.23145"
"1965",,,"7.6210758555727498","4.5452747966012179","2.8821097702608371","1.0102507373165361","0.64460030359546661",,,"1.6631650263403808","1.871859032944301","3.535024059284682","2121.9810628930818","1417.44396289308","7.2419999999999982","104.16135027404087","1","73.485339103947297","49.086842524423204",,,"2240.149374334675","3340.1105974886559","4235.8562760483446","7423.8618011718445",,,"2444.3649189289663","3438.8548947674708","2886.3604637460799",,,"2111.8776407090604","2832.4872812198087","4725.0572864615988","2.8829324896365698","1.5310864863737164",,,,"13.811412","28.73876","38.54493"," 64.29932"," 84.70524"
"1966",,"10.092881106646947","7.774855902652174","4.597317189920032","2.9330561874347811","1.0245753162119244","0.64942840898119847",,"5.4955639167269155","1.6642610024852509","1.9084808712228567","3.5727418737081074","2174.0093482673083","1449.86934826731","8.9039999999999999","118.28394618834082","1","81.582486263122931","54.408204952114609",,"1646.8046684767148","2537.1682995035248","3750.6056649386992","4785.7203224073155","8358.7401660394171",,"1120.854419361219","2715.4910074700838","3892.4653614992899","3238.590720371953",,"452.23968186889084","2341.1304969547455","3130.7507637358663","5392.2981307871551","2.8732377497611785","1.5338350671864751",,,"5.543342726897416","14.726989","28.69648","38.37528"," 66.09627"," 87.15853"
"1967",,"10.655419370279571","8.0973696704549223","4.7641913843337989","3.0618561908094004","1.1174611314788685","0.71717873981735403",,"5.8912279859457719","1.7023351935243984","1.9443950593305319","3.6467302528549306","2236.4821328522389","1489.1221328522399","9.6349999999999998","124.22120079720976","1","83.419081656706382","55.543122376205844",,"1777.7305970716045","2701.9005669768671","3974.2447011791819","5108.3446320444264","9321.7581375031241",,"1228.6020710447106","2840.144770313937","4054.9912556797522","3380.0765415876335",,"523.04258801545529","2479.1777809382488","3239.080230149224","5695.9054799432588","2.7009271959092862","1.5879146399710644",,,"6.2700592913252944","15.929198","29.71955","38.82901"," 68.28061"," 92.35260"
"1968",,"11.385960823844007","8.5883167421715765","5.0519761443412214","3.2656298875172078","1.1710838119681637","0.74757034648588394",,"6.3339846795027857","1.7863462568240136","2.0945460755490442","3.8808923323730578","2294.2098784735272","1525.06987847353","10.727","130.27374190333833","1","85.421490347531929","56.783707160225951",,"1945.2114852227351","2934.5072627718246","4315.4733144980519","5579.0994383032585","10003.572454018939",,"1352.6460279039056","3051.8471906928453","4472.9811843743382","3683.4622989957311",,"585.31507072137867","2663.613377764234","3495.0910111638782","6416.3538442685913","2.7387754353349778","1.5751173956557238",,,"6.8520821673803791","17.244804","31.18201","40.91583"," 75.11405"," 97.11901"
"1969",,"11.072050748017414","8.2163278037852692","4.7361753423055735","2.9984019723129407","1.0377089040170231","0.65057081130838845",,"6.3358754057118407","1.7377733699926328","1.9606930682959176","3.6984664382885502","2350.9805804872753","1560.2405804872801","12.062000000000001","140.88009965122072","1","90.293831229041828","59.923974200595588",,"1999.4757632017413","2967.534864149884","4276.4741702928886","5414.744032897016","9369.8712644187053",,"1430.2261614289546","3138.2043076887608","4425.9622250165939","3710.5411598344645",,"658.64592339039757","2740.2972191574859","3536.1082263673738","6160.7105869798334","2.9355835728733992","1.5166400531677828",,,"7.2944731043658804","16.965924","30.34866","39.16223"," 68.22958"," 89.21685"
"1970",,"10.36784717854516","7.7695452133279721","4.6791527163167226","3.1152716163055727","1.2811340862961178","0.88202328759666315",,"5.6886944622284377","1.5638811000111499","1.8341375300094549","3.398018630020605","2404.6657813191678","1593.22578131917","13.215","165.6","1","103.94007047945544","68.866119061732576",,"2155.2695329164144","3230.2683082665003","4863.5146311809549","6476.0310272289653","13316.116722325121",,"1478.2082583502793","3250.998235132944","4766.0096034549269","3924.3366210538261",,"712.79440390124205","2803.3372767432725","3715.8567206748407","7086.492067385092","2.2860938212819053","1.777548249942805",,,"6.8577440886200991","15.230969","26.97071","35.74999"," 68.17863"," 92.15142"
"1971",,"8.8378968463163332","6.6097751972305732","4.0011471778093819","2.6703502352276649","1.0516492483859239","0.69292194591586054",,"4.8367496685069513","1.330796942581717","1.618700986841741","2.9494979294234582","2464.3990997616447","1630.9990997616401","14.464000000000002","421.36","1","258.34471647567375","170.97879967605641",,"4566.4479100056888","6830.4019971858916","10336.752332286069","13797.417488212795","27168.802690611694",,"3123.8718044355928","6876.0871763593432","10454.571187613072","8466.5245146943344",,"1588.1591502583037","5908.6894635411063","8089.2363330068874","15672.900603138705","2.3827315492494545","1.7232061787718658",,,"6.1474419601991279","12.758952","22.87134","31.31179"," 60.66662"," 84.60245"
"1972",,"8.5229914644830309","6.4040545922154202","3.9415546792073095","2.6445207385656393","1.0682705163598609","0.72411885869048376",,"4.5814367852757218","1.2970339406416702","1.5762502222057784","2.8732841628474484","2528.6308031033759","1671.65080310338","14.678000000000001","464.6","1","277.92885878885778","183.73579861077337",,"4737.5705823818889","7119.4863377439033","10954.717938459698","14699.772618260307","29690.320548967997",,"3183.2837433624363","7209.6632586590895","10952.135635583387","8872.9843150698871",,"1628.2091004737144","6168.14161993161","8504.9865966437974","16567.501775974008","2.3093958250149971","1.7637110038811576",,,"5.8583664451724422","11.957309","22.19324","30.60131"," 59.61058"," 81.41016"
"1973",,"9.5217638931802853","7.2344767416584013","4.5662497341041703","3.1255052658988385","1.3448730324365368","0.94288855278086348",,"4.9555141590761149","1.4407444682053319","1.7806322334623017","3.2213767016676336","2597.3297267578555","1715.14972675786","15.388000000000002","462.76000000000005","1","269.80734846674483","178.1675985272941",,"5138.0837374907242","7807.6599488447555","12320.077331956247","16865.685768220279","36285.662690613244",,"3342.5853388743435","7774.4688956922182","12010.691537622033","9657.2345143276925",,"1740.3091829353884","6528.2767313720351","9129.651255807923","18315.2068708921","2.1316433654982059","1.8836706249408797",,,"6.4501919344494452","12.876214","24.19607","33.83767"," 67.88254"," 95.33759"
"1974",,"8.5608457323975191","6.5715950040094073","4.2043371854839693","2.8805457492056692","1.1775901569789908","0.78415719565301578",,"4.3565085469135498","1.3237914362783001","1.7029555922266784","3.0267470285049782","2682.6272186615852","1769.4872186615901","16.899999999999999","600.76","1","339.51078802050046","223.94464494389601",,"5812.9989614564402","8924.5095934512701","14274.178309475554","19559.52714483839","39980.456216112201",,"3697.7041244516618","8988.8294741127138","14454.294877019942","11417.925208738148",,"1908.2948246893807","7471.9083384570649","10756.596904162532","22622.670506728216","2.2356528921566117","1.809288762521875",,,"5.6207192584824535","11.341299","22.00787","31.68264"," 66.63314"," 94.44933"
"1975",,"8.1746664680453254","6.3817658720592831","4.1751839415814764","2.8899880615782516","1.2099213989648816","0.83412673284861227",,"3.9994825264638489","1.2851958800032248","1.68006666261337","2.9652625426165948","2805.5184973302821","1848.4584973302799","17.111999999999998","684.48","1","370.29773781158264","243.97629195863362",,"6054.1210009627684","9452.613862666858","15460.611685148675","21403.120830098145","44803.115696652094",,"3702.4983299162909","9518.1025401992065","15553.122113459658","12200.333461648295",,"1866.3768493033026","7835.1706358404554","11487.293313873464","23866.282509031265","2.1641201909739363","1.8590178297340341",,,"5.0402059173609235","10.318972","21.15911","31.02178"," 64.45160"," 90.51277"
"1976",,"7.6187751724810031","5.9363960931873949","3.9199213652637814","2.6784114250601223","1.0865283989864574","0.73098705351108839",,"3.6988538072172217","1.2415099402036591","1.5918830260736649","2.8333929662773238","2915.6690805341727","1920.0890805341701","18.068999999999999","753.48","1","392.41929327069624","258.42438877252721",,"5979.5087375466446","9318.2254378540783","15382.527718335159","21021.206370205033","42637.470644880668",,"3628.7539923495156","9743.8490664652854","15617.140301536123","12354.200726496769",,"1894.8215410581438","7871.7412785765027","11708.467380379376","23717.478044012445","2.2585409301592767","1.7945709003468353",,,"4.8285636653218011"," 9.370934","20.05952","29.83663"," 60.43912"," 84.90222"
"1977",,"7.0650661258947061","5.6090129378736568","3.8287327874631134","2.6873740378708777","1.1925535335850981","0.861661783721692",,"3.2363333384315927","1.1413587495922357","1.4948205042857796","2.6361792538780153","3002.9596144074085","1976.5996144074099","17.094000000000001","893.32","1","451.94787729826601","297.4798581086759",,"6386.0832771399928","10139.925964042041","17303.876560362271","24291.05983844426","53897.203806833146",,"3656.6349563344224","10316.693282280281","16889.523846347041","13237.951310754399",,"1867.9389821538548","8237.6636321036112","12741.329207910367","25565.19067744186","2.0266593820515539","1.9740328851831257",,,"4.1330849772331071"," 8.124265","18.22702","28.19203"," 56.56668"," 82.17756"
"1978",,"6.9476831495364531","5.4485950273626402","3.6278478136337182","2.4753828487147596","0.98001454529559462","0.65784630949524658",,"3.3198353359027348","1.1524649649189587","1.4953683034191649","2.6478332683381236","3094.2882770022325","2035.70827700223","19.433","1010.1600000000001","1","496.22041203642141","326.45956341813439",,"6895.1643903229606","10814.816277989945","18002.121368867542","24566.709942742571","48630.322146826613",,"4118.4251456868169","11437.532794992512","18550.806891721561","14598.987949094311",,"2121.4696119196456","9130.6143828894092","14132.161686783786","27741.398592610636","2.3170489371852736","1.7592732295408449",,,"4.275256640921766"," 8.340560","18.40032","28.47961"," 55.90540"," 75.02924"
"1979",,"7.4708945197824788","5.9744745610296173","4.1185396913437931","2.8644876094872518","1.0867077683508128","0.70925188842337772",,"3.3523548284386857","1.2540520818565413","1.7777798411364389","3.0318319229929802","3188.591763679181","2096.71176367918","19.001000000000001","1010.1600000000001","1","481.7829601086579","316.80443119329243",,"7198.699352800706","11513.600156426894","19842.422438206107","27601.226393866826","52355.728540912831",,"4037.7685814493552","12083.618482545389","21412.600857105328","16229.832871238694",,"2007.6877500053492","9242.4057481159398","15508.862287211989","32089.55885755278","2.3732139186094403","1.7282186602161966",,,"4.1672037333004672"," 8.464864","19.18375","32.19056"," 66.60584"," 88.45428"
"1980",,,"4.3977286376655904","3.1495671670099803","2.2554896758995979",,,,,"0.89407749111038237",,,"3286.9113698851688","2160.2913698851698",,"1237.4000000000001","1","572.79310432359591","376.46284330545541",,,"10075.954553365007","18040.503548673201","25838.578664567038",,,,"10242.428432779363",,,,,"7524.1458296586889","14261.151335835873",,,,,,," 5.321217","13.13589","24.89756",,
"1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
