"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38"
"Variable","Top 0.50% income share","Top 0.25% income share","Top 0.1% income share","Top 0.05% income share","Top 0.01% income share","Top 0.005% income share","Top 0.1-0.05% income share","Top 0.05-0.01% income share","Top 0.1-0.01% income share","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Top 0.50% average income","Top 0.25% average income","Top 0.1% average income","Top 0.05% average income","Top 0.01% average income","Top 0.1-0.05% average income","Top 0.05-0.01% average income","Top 0.1-0.01% average income","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.95 income threshold","P99.99 income threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,,,,,
"Subvariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,"4.3939227687724918","2.9970052994849627","2.1359984993279313","0.98967138506344643","0.70324860168185865","0.86100680015703146","1.1463271142644849","2.0073339144215163","2441.0873465808618","1555.9137661371217","3.3290000000000002","73.899122807017534","1","47.495641735009137","30.273035051582738",,"834.76872654767055","1423.4468998226155","2029.0123894119313","4700.5077540363718","817.88141023329945","1361.1385482558212","1059.329027132198",,,"392.08437976343095","657.50651463681425","972.17237599699502","1.9275120447079099","2.0781531147823724",,," 8.255165","13.84351","20.46866","45.62168"
"1944",,,,,,,,,,"2502.8881928645255","1594.7000993292486","3.5619999999999998",,,,,,,,,,,,,,,,,,,,,,,,,
"1945",,,,,,,,,,"2566.2525081086505","1634.4515241414567","4.157",,,,,,,,,,,,,,,,,,,,,,,,,
"1946",,,,,,,,,,"2631.2198153270942","1675.1920057767531","4.694",,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,,,,,,,,"2697.8306358254158","1716.9461032267657","5.069",,,,,,,,,,,,,,,,,,,,,,,,,
"1948",,,,,,,,,,"2766.1265143944888","1759.7389839482739","5.6929999999999996",,,,,,,,,,,,,,,,,,,,,,,,,
"1949",,,,,,,,,,"2836.1500451393354","1803.5964389015189","6.585",,,,,,,,,,,,,,,,,,,,,,,,,
"1950",,,,,,,,,,"2907.9448979591839","1848.5448979591838","7.5960000000000001",,,,,,,,,,,,,,,,,,,,,,,,,
"1951",,"3.2586996649620943","1.9768279596924014","1.3359685492839883","0.54039804565201655","0.36996843425089165","0.6408594104084131","0.79557050363197179","1.4364299140403849","2982.8055847280743","1895.4055847280742","7.9790000000000001","210.04081632653063","1","110.81576313739957","70.417199633102754",,"1444.4611608334512","2190.6369894466202","2960.9274863293958","5988.4621826887505","1420.346492563845","2204.0438122395567","1768.6564124197168",,,"1210.7022923309946","1630.4981215785197","3256.5495108638725","2.2896661461047225","1.7753944716780981",,"6.4481068973483566","10.925362","14.71359","29.38706","39.74476"
"1952",,"4.0518799278273931","2.4552993503728153","1.6809180615938926","0.72388101269230753","0.50204227065818596","0.77438128877892276","0.95703704890158503","1.7314183376805077","3059.7564368105291","1943.556436810529","8.94","208.34693877551021","1","107.1988108137563","68.092654784212087",,"1737.4268392929011","2632.0517055175419","3603.8483455645924","7759.9183731272997","1660.2550654704903","2564.8308386739159","2062.2887424497908",,,"1422.4844312791829","1926.4304940006007","4101.9893606438718","2.1296408819238875","1.8852370837508143",,"8.2711388094376961","13.269592","17.97063","38.26525","53.27379"
"1953",,"3.7507282428966908","2.210743482394657","1.4757780193394867","0.58983135345038573","0.39862076824885256","0.7349654630551703","0.88594666588910098","1.6209121289442714","3139.8888038243599","1993.6888038243599","9.7889999999999997","226.97959183673473","1","113.84905778742147","72.289054172961599",,"1708.0675058818367","2516.9106248031467","3360.3187401037521","6715.1743843805989","1673.5025095025412","2521.6048290345411","2050.4368737389859",,,"1439.4787443884281","1909.6466093966901","3777.491794648271","2.3463740831864719","1.74273562785262",,"7.8436657703837662","12.643748","16.77350","33.17982","43.00165"
"1954",,"3.5880160750427197","2.0768899520282269","1.3631215218806216","0.53084948880300931","0.34901158864602227","0.71376843014760527","0.83227203307761233","1.5460404632252176","3223.1960762037052","2045.7960762037058","9.2910000000000004","254.92857142857144","1","124.61093966981853","79.091859570897554",,"1788.4242186459498","2588.0320851304164","3397.1970745139474","6614.9653622985797","1778.8670957468864","2592.7550025677892","2140.5950543339545",,,"1525.9103429468742","2008.6040392582952","3924.1123570646141","2.4536389926784734","1.6879287120369557",,"7.7538090105140061","12.245396","16.11900","31.49091","41.52859"
"1955",,"4.0599119836232287","2.3923202599405906","1.5998534718868465","0.65806428256715477","0.44952005588004573","0.79246678805374415","0.94178918931969169","1.7342559773734358","3309.6716443827058","2099.8716443827057","10.705","249","1","118.57867630437858","75.234049402638405",,"1925.6759557213054","2836.781697199021","3794.1701395461318","7803.2391550003758","1879.3932548519103","2791.9028856825703","2284.953090776648",,,"1618.1874705981832","2153.2028872043475","4139.2594701285316","2.2755769092413001","1.783959001417476",,"8.7387663595776743","13.646530","18.15843","34.90728","48.98373"
"1956",,"4.1673561619042605","2.4541772110049038","1.6408393192059829","0.64308907939207449","0.42329738053854415","0.81333789179892091","0.99775023981390842","1.8110881316128293","3397.6727364565077","2154.2727364565076","10.624000000000001","257.25","1","119.4138493453443","75.713589846293004",,"1990.5601635441105","2930.6274774171688","3918.778785271611","7679.3742442161347","1942.4761695627258","2978.6299205354799","2402.9889477728389",,,"1676.3711106397548","2248.4009260094354","4528.0275253927084","2.3902560790622713","1.719291945606525",,"9.1460793489029317","14.038331","18.82864","37.91878","50.24472"
"1957","5.8455933353279788","4.0622579742008513","2.327097145552504","1.5183062051254432","0.58268042504814599","0.38869491887084134","0.80879094042706079","0.93562578007729724","1.7444167205043581","3488.737320109939","2210.5373201099392","12.879","270","1","122.14224910103385","77.3918971897522","1427.9878346139467","1984.6933015900061","2842.3687923437874","3708.9866943615457","7116.9897622526933","1975.7508903260298","2856.9859273887591","2367.4109067983541",,"636.35655252775848","1706.2317995955789","2243.7944437122601","4164.8828581873213","2.5086805684509388","1.6628308343805114","5.2099626231818927","9.2836614927457379","13.969219","18.37034","34.09863","43.55981"
"1958","5.2663841047388029","3.6705376175351301","2.1333533090647339","1.3567990038623354","0.46498878159062601","0.26115894646500348","0.77655430520239843","0.89181022227170947","1.6683645274741079","3583.9445535781715","2269.3445535781711","11.926","285.75","1","125.91741503045272","79.730586153937651","1326.25894605235","1848.7384342882403","2686.2633402409374","3416.8924656447703","5855.0185396051384","1955.634214837105","2807.3609471546779","2334.1794292004711",,"818.05307606029078","1672.6728522522042","2216.4222907138269","5043.0980415249387","2.9552601161894505","1.5114409032946834","6.4967429315670699","8.8635920528259948","13.283888","17.60219","40.05084","47.48867"
"1959",,,"1.7287702123667474","1.1553175801733873","0.48046845345210093","0.33594621028101534","0.57345263219336018","0.67484912672128639","1.2483017589146466","3682.190063680252","2329.9900636802522","6.8739999999999997","324","1","139.05638699945246","87.991112462068443",,,"2403.9653968399602","3213.0857707172295","6681.220720426375","1594.845022962691","2346.0520332899432","1928.714805330359",,,"1326.9591162809918","1832.1487922746046","3374.504145257687","2.2526195344368016","1.7983270039370864",,," 9.542597","13.17558","24.26716","33.36615"
"1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
