"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v159","v160","v161","v162","v163","v164","v165","v166","v167","v168","v169"
"Subcategory","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Number of adults","Number of tax units","Number of tax units","Number of tax returns","Fiscal income control","Fiscal income control-incl. capital gains","Price index","Average income per tax unit","Average income per tax unit","Average income per tax unit-including capital gains","Average income per adult","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top 10% income composition",,,,,,"Top 5% income composition",,,,,,"Top 1% income composition",,,,,,"Top 0.5% income composition",,,,,,"Top 0.1% income composition",,,,,,"Top 0.01% income composition",,,,,,"Top 10-5% income composition",,,,,,"Top 5-1% income composition",,,,,,"Top 1-0.5% income composition",,,,,,"Top 0.5-0.1% income composition",,,,,,"Top 0.1-0.01% income composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variable","Top 10% income share","Top 10% income share","Top 5% income share","Top 5% income share","Top 1% income share","Top 1% income share","Top 0.5% income share","Top 0.5% income share","Top 0.1% income share","Top 0.1% income share","Top 0.05% income share","Top 0.01% income share","Top 10-5% income share","Top 10-5% income share","Top 5-1% income share","Top 5-1% income share","Top 1-0.5% income share","Top 1-0.5% income share","Top 0.5-0.1% income share","Top 0.5-0.1% income share","Top 0.1-0.05% income share","Top 0.05-0.01% income share","Top 0.1-0.01% income share","Top 10% income share-including capital gains","Top 5% income share-including capital gains","Top 1% income share-including capital gains","Top 0.5% income share-including capital gains","Top 0.1% income share-including capital gains","Top 0.05% income share-including capital gains","Top 0.01% income share-including capital gains","Top 10-5% income share-including capital gains","Top 5-1% income share-including capital gains","Top 1-0.5% income share-including capital gains","Top 0.5-0.1% income share-including capital gains","Top 0.1-0.05% income share-including capital gains","Top 0.05-0.01% income share-including capital gains","Top 0.1-0.01% income share-including capital gains","Top 10% income composition","Top 10% income composition","Top 10% income composition","Top 10% income composition","Top 10% income composition","Top 10% income composition","Top 5% income composition","Top 5% income composition","Top 5% income composition","Top 5% income composition","Top 5% income composition","Top 5% income composition","Top 1% income composition","Top 1% income composition","Top 1% income composition","Top 1% income composition","Top 1% income composition","Top 1% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Number of adults","Number of tax units","Number of tax units","Number of tax returns","Fiscal income control","Fiscal income control-incl. capital gains","Price index","Average income per tax unit","Average income per tax unit","Average income per tax unit-including capital gains","Average income per adult","Top 10% average income","Top 10% average income","Top 5% average income","Top 5% average income","Top 1% average income","Top 1% average income","Top 0.5% average income","Top 0.5% average income","Top 0.1% average income","Top 0.1% average income","Top 0.01% average income","Bottom 90% average income","Bottom 90% average income","Top 10-5% average income","Top 10-5% average income","Top 5-1% average income","Top 5-1% average income","Top 1-0.5% average income","Top 1-0.5% average income","Top 0.5-0.1% average income","Top 0.5-0.1% average income","Top 0.1-0.01% average income","P90 income threshold","P95 income threshold","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.99 income threshold","Top 10% average income-including capital gains","Top 5% average income-including capital gains","Top 1% average income-including capital gains","Top 0.5% average income-including capital gains","Top 0.1% average income-including capital gains","Top 0.01% average income-including capital gains","Bottom 90% average income-including capital gains","Top 10-5% average income-including capital gains","Top 5-1% average income-including capital gains","Top 1-0.5% average income-including capital gains","Top 0.5-0.1% average income-including capital gains","Top 0.1-0.01% average income-including capital gains","P90 income-including capital gains threshold","P95 income-including capital gains threshold","P99 income-including capital gains threshold","P99.5 income-including capital gains threshold","P99.9 income-including capital gains threshold","P99.99 income-including capital gains threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient","20","   10.00","     5.00","     1.0","     0.5","0.1"
"Subvariable","married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults",,,"married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"married couples & single adults","adults",,,,,"married couples & single adults","adults",,,"married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults",,"married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults","married couples & single adults","adults",,"adults","adults","adults","adults",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,"25.385844671747982",,"11.344765317690825",,"7.818127942585118",,"3.125206942606547",,,,,,"14.041079354057157",,"3.5266373751057074",,"4.692920999978571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"981.50237028536435","669",,,"192",,"2.2782289055973265E-2","12597.308154152322",,,"8586.4277155822292",,,"63958.661616691024",,"142913.50464349109",,"196974.73376266725",,"393691.94901510904",,,,,,,"44219.950859991011",,"88852.275524314944",,"147795.4299495568",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.2722972709797262","1.7859798356951242",,,,,,
"1922",,,"23.838926193590812",,"10.467346883568785",,"7.2235565721465536",,"2.885719682180333",,,,,,"13.371579310022026",,"3.2437903114222317",,"4.337836889966221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1009.3776244489248","688",,,"203",,"2.0438680033416874E-2","14436.2619823036",,,"9839.8736045366459",,,"68828.996781495298",,"151109.36187084814",,"208562.31023899722",,"416590.05339445168",,,,,,,"48258.905509157099",,"93656.413502699041",,"156555.37445013359",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.270572680678578","1.7870466721084601",,,,,,
"1923",,,"24.718262505577659",,"10.943855524618373",,"7.5382837361260027",,"2.9613308180771263",,,,,,"13.774406980959286",,"3.4055717884923702",,"4.5769529180488764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1032.851522691923","704",,,"214",,"2.0310108604845445E-2","14966.79700938438",,,"10201.490594838815",,,"73990.643469131552",,"163794.46413699299",,"225647.92495548312",,"443216.37231794535",,,,,,,"51539.688302166185",,"101941.00331850284",,"171255.8131148676",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.3131197306420042","1.7615451787561556",,,,,,
"1924","33.727803971713421",,"24.472424378140627",,"10.885344459073403",,"7.5066444867444133",,"2.9122269424669707",,,,"9.2553795935727941",,"13.587079919067223",,"3.3786999723289899",,"4.5944175442774426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1057.7925395751085","721",,,"231",,"2.1542355889724311E-2","14872.484288841786",,,"10137.206277293408","50161.623466644342",,"72793.149414753032",,"161892.11444620017",,"223284.90438205423",,"433120.49447381776",,,"10951.468824641501",,"27530.097518535647",,"50518.408156891252",,"100499.32451034615",,"170826.00685911332",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.3398214458784663","1.7463681097777479",,,,,,
"1925","34.974730388819161",,"25.155444902498957",,"11.081747559830863",,"7.6042110209660772",,"2.9184962327365316",,,,"9.8192854863202044",,"14.073697342668094",,"3.4775365388647854",,"4.6857147882295456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1087.1349123788564","741",,,"233",,"2.2080952380952382E-2","14240.325353454306",,,"9706.3216043901066","49805.153988613027",,"71644.343964495754",,"157807.69073683981",,"216572.87798975976",,"415603.35896998906",,,"10288.677727325559",,"27965.964012730299",,"50103.507271409733",,"99042.503483919878",,"166815.25774470242",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.3778335450600618","1.7257770748762025",,,,,,
"1926","35.733196097356711",,"25.175346079101885",,"10.839869951992538",,"7.3647144731880143",,"2.7855086353814889",,,,"10.557850018254825",,"14.335476127109347",,"3.475155478804524",,"4.5792058378065255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1116.4772851826042","761",,,"232",,"2.1946282372598162E-2","13891.28320128309",,,"9468.4116340508081","49637.994667536572",,"69943.572415023227",,"150579.70336820727",,"204610.66888728621",,"386942.89313703851",,,"9919.4263716993682",,"29332.416920049927",,"49784.53967672721",,"96548.737849128345",,"159027.61282484813",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4397358574525509","1.6945718513737558",,,,,,
"1927","35.689788094914228",,"24.985240046407498",,"10.643642433110667",,"7.1965418804359711",,"2.6930046091721604",,,,"10.70454804850673",,"14.34159761329683",,"3.4471005526746961",,"4.5035372712638111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1142.8854207059771","779",,,"240",,"2.1677025898078527E-2","14212.618135338342",,,"9687.436139127105","50724.532952416033",,"71021.135159870595",,"151274.02547088539",,"204563.40328321236",,"382746.46146869991",,,"10155.738711218597",,"30427.930744961479",,"50957.9125821169",,"97984.647658558417",,"160017.63873684045",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.480485890591047","1.6754539211452903",,,,,,
"1928","35.847718971816377",,"25.417425295904035",,"11.468016892626995",,"7.9799951380729439",,"3.1747328323795658",,,,"10.430293675912342",,"13.94940840327704",,"3.4880217545540511",,"4.8052623056933781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1163.4250816686008","793",,,"254",,"2.1811612364243942E-2","14684.959682145134",,,"10009.387979876985","52642.230779799269",,"74650.773138857316",,"168407.36570238674",,"234371.81373263075",,"466208.23645076348",,,"10467.485115739117",,"30633.688420741219",,"51211.62499797497",,"102442.91767214274",,"176412.70805309757",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.26132372865903","1.7928178763933547",,,,,,
"1929","36.543581504536618",,"25.481537902688121",,"10.989526586090939",,"7.4786443217042553",,"2.8767462928217631",,,,"11.062043601848497",,"14.492011316597182",,"3.5108822643866837",,"4.6018980288824922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1182.4976239910368","806",,,"247",,"2.1677025898078527E-2","14137.161358947767",,,"9636.0041865067378","51662.25083634934",,"72047.322600889092",,"155360.71060601401",,"211453.60304422307",,"406690.26530376065",,,"9967.7069725698148",,"31277.179071809591",,"51218.97559960786",,"99267.81816780493",,"162644.43747933867",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.3927876894294418","1.7179845195283512",,,,,,
"1930","38.380495997325745",,"26.166215255867481",,"10.568297971196735",,"7.0564511535195749",,"2.5960344837789044",,,,"12.214280741458264",,"15.597917284670746",,"3.51184681767716",,"4.4604166697406704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1205.9715222340351","822",,,"211",,"2.0695572263993316E-2","12403.184328152525",,,"8454.1113366048612","47604.036646075132",,"64908.878197728212",,"131080.54777159347",,"175044.92871941559",,"321990.9422455004",,,"8491.978515050012",,"30299.19509442207",,"48365.9608042619",,"87116.166823771346",,"138308.42533789438",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.5620961972249821","1.6401654403720274",,,,,,
"1931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1229.4454204770334","838",,,"189",,"1.9077025898078529E-2","11822.439936133438",,,"8058.2712347130919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1247.050844159282","850",,,"175",,"1.7328989139515454E-2","11880.805699837449",,,"8098.053814052796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933","38.126663016753398",,"25.993556018080916",,"10.857153234010836",,"7.3905447020464141",,"2.8128495995000913",,,,"12.133106998672481",,"15.13640278407008",,"3.4666085319644218",,"4.5776951025463228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1264.6562678415307","862",,,"192",,"1.7199582289055975E-2","12950.187701200699",,,"8826.9532854865847","49374.74424873833",,"67324.285891164574",,"140602.17228113851",,"191417.8822112309",,"364269.30288773391",,,"8903.014751474293",,"31425.202606312097",,"49004.814293671094",,"89786.462351046124",,"148205.02704210515",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4187859708325896","1.7048279448472186",,,,,,
"1934","37.974577439458322",,"25.640311591532392",,"10.423104039341638",,"6.9637201959877091",,"2.4949175501270102",,,,"12.334265847925931",,"15.217207552190754",,"3.4593838433539288",,"4.4688026458606984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1280.7945728835921","873",,,"199",,"1.7501670843776108E-2","13024.447843771581",,,"8877.5696027609665","49459.790324948975",,"66790.180204393109",,"135755.17493061005",,"181397.22098252145",,"324949.23506139615",,,"8976.0764569740913",,"32129.400445504863",,"49548.931522838866",,"90113.128878698641",,"145509.21746280277",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.6381108733500351","1.6104592895808938",,,,,,
"1935",,,"24.647799752953695",,"10.360896212304846",,"6.9291956346130874",,"2.7653027382132871",,,,,,"14.286903540648849",,"3.4317005776917586",,"4.1638928963998003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1295.465759285466","883",,,"231",,"1.8170676691729323E-2","14397.270858903135",,,"9813.2969376384008",,,"70972.209823856028",,"149168.62910953644",,"199523.01277170764",,"398128.12528923206",,,,,,,"51423.105002435928",,"98814.245447365218",,"149871.73464232654",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.345516318208273","1.7432091208909513",,,,,,
"1936","34.4926742609236",,"24.152048378596248",,"10.6632032582473",,"7.2808254064382325",,"2.8082353373660203",,,,"10.340625882327352",,"13.488845120348948",,"3.3823778518090677",,"4.4725900690722122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1314.538301607902","896",,,"289",,"1.9055472013366749E-2","16926.615233193334",,,"11537.318639092029","58384.422557852493",,"81762.485999593919",,"180491.93870568555",,"246479.46046967685",,"475339.19039851497",,,"12320.192197120094",,"35006.359116111082",,"57080.122823071019",,"114504.41694169422",,"189264.52798746733",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.377862222597368","1.7257619692300796",,,,,,
