"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142"
"Subcategory","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top income shares including capital gains","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Top composition","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Fiscal income control-incl. capital gains","Price index","Average income per tax unit","Average income per tax unit-including capital gains","Average income per adult","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Fractiles income levels-including capital gains","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top 10% income composition",,,,,,"Top 5% income composition",,,,,,"Top 1% income composition",,,,,,"Top 0.5% income composition",,,,,,"Top 0.1% income composition",,,,,,"Top 0.01% income composition",,,,,,"Top 10-5% income composition",,,,,,"Top 5-1% income composition",,,,,,"Top 1-0.5% income composition",,,,,,"Top 0.5-0.1% income composition",,,,,,"Top 0.1-0.01% income composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variable","Top 10% income share","Top 5% income share","Top 1% income share","Top 0.5% income share","Top 0.1% income share","Top 0.05% income share","Top 0.01% income share","Top 10-5% income share","Top 5-1% income share","Top 1-0.5% income share","Top 0.5-0.1% income share","Top 0.1-0.05% income share","Top 0.05-0.01% income share","Top 0.1-0.01% income share","Top 10% income share-including capital gains","Top 5% income share-including capital gains","Top 1% income share-including capital gains","Top 0.5% income share-including capital gains","Top 0.1% income share-including capital gains","Top 0.05% income share-including capital gains","Top 0.01% income share-including capital gains","Top 10-5% income share-including capital gains","Top 5-1% income share-including capital gains","Top 1-0.5% income share-including capital gains","Top 0.5-0.1% income share-including capital gains","Top 0.1-0.05% income share-including capital gains","Top 0.05-0.01% income share-including capital gains","Top 0.1-0.01% income share-including capital gains","Top 10% income composition","Top 10% income composition","Top 10% income composition","Top 10% income composition","Top 10% income composition","Top 10% income composition","Top 5% income composition","Top 5% income composition","Top 5% income composition","Top 5% income composition","Top 5% income composition","Top 5% income composition","Top 1% income composition","Top 1% income composition","Top 1% income composition","Top 1% income composition","Top 1% income composition","Top 1% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.5% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.1% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 0.01% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 10-5% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 5-1% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 1-0.5% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.5-0.1% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Top 0.1-0.01% income composition","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Fiscal income control-incl. capital gains","Price index","Average income per tax unit","Average income per tax unit-including capital gains","Average income per adult","Top 10% average income","Top 5% average income","Top 1% average income","Top 0.5% average income","Top 0.1% average income","Top 0.01% average income","Bottom 90% average income","Top 10-5% average income","Top 5-1% average income","Top 1-0.5% average income","Top 0.5-0.1% average income","Top 0.1-0.01% average income","P90 income threshold","P95 income threshold","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.99 income threshold","Top 10% average income-including capital gains","Top 5% average income-including capital gains","Top 1% average income-including capital gains","Top 0.5% average income-including capital gains","Top 0.1% average income-including capital gains","Top 0.01% average income-including capital gains","Bottom 90% average income-including capital gains","Top 10-5% average income-including capital gains","Top 5-1% average income-including capital gains","Top 1-0.5% average income-including capital gains","Top 0.5-0.1% average income-including capital gains","Top 0.1-0.01% average income-including capital gains","P90 income-including capital gains threshold","P95 income-including capital gains threshold","P99 income-including capital gains threshold","P99.5 income-including capital gains threshold","P99.9 income-including capital gains threshold","P99.99 income-including capital gains threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient"
"Subvariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922",,,"12.723611714468921","9.9732561450812902","5.6612400461993095",,"2.0047231790776738",,,"2.7503555693876311","4.3120160988819807",,,"3.6565168671216357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124160","283.88299999999998","23230.2",,"1.9368442989600731E-2","9659.9868528219886",,,,,"122909.9218821816","192683.04648262274","546875.04416954669","1936559.9553437831",,,,"53136.79728174051","104135.04706089174","392465.60959463165",,,"43187.073393675841","67703.377747963939","196616.40220951781","992888.59508450911",,,,,,,,,,,,,,,,,,,"1.5424929915123096","2.8433417862455634"
"1923",,,"13.391991935573238","10.470293934446794","5.9058011211610646",,"2.0698447141971745",,,"2.921698001126444","4.564492813285729",,,"3.8359564069638901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125440","291.34800000000001","21644",,"1.758393475909819E-2","9812.6298363263486",,,,,"131410.65963484781","205482.23731251879","579514.4028891467","2031061.9999093576",,,,"57339.081957176786","111974.19591836185","418231.33655356767",,,"46659.801617168756","72960.294511082524","212388.04537871262","1049438.0102501945",,,,,,,,,,,,,,,,,,,"1.5517501566868317","2.8124145283525324"
"1924",,,"11.458493909020383","9.1819943563952844","5.373628556719579",,"1.835976172021561",,,"2.2764995526250988","3.8083657996757054",,,"3.5376523846980179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126680","293.91800000000001","24285.1",,"1.7366311804158856E-2","11038.860550626707",,,,,"126488.71638188152","202717.51055377792","593187.36288492894","2026708.493721944",,,,"50259.922209985103","105100.04747099019","433907.23723637161",,,"40417.948923773321","64775.943830280798","218932.66052899102","1076202.1904902731",,,,,,,,,,,,,,,,,,,"1.4900018528622514","3.0408086095158473"
"1925",,,"12.38073515322413","9.6431316463691061","5.3883875314350043",,"1.8405947332125625",,,"2.7376035068550237","4.2547441149341019",,,"3.5477927982224418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127960","300.97200000000004","24056.2",,"1.8193279032928326E-2","10333.36604555628",,,,,"127934.66825135124","199292.0182548395","556801.80757629289","1901953.9119808413",,,,"56577.318247863004","109914.57092447614","407340.46264245425",,,"46123.433110868398","71849.422827654605","208070.26111547064","1013797.3532141986",,,,,,,,,,,,,,,,,,,"1.5656499183868842","2.7678779179386992"
"1926",,,"12.894016675346746","10.023677390435299","5.5732808972009629",,"1.8700175929036948",,,"2.8703392849114469","4.4503964932343365",,,"3.703263304297268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129280","307.92700000000002","23945.599999999999",,"1.8541475760831264E-2","9989.6456283436455",,,,,"128806.6573126677","200265.97004657806","556751.01150254754","1868081.3071876101",,,,"57347.344578757329","111144.70968258572","411047.64531531831",,,"46794.153358174313","72754.597551857179","209518.26316387171","1008878.7056730429",,,,,,,,,,,,,,,,,,,"1.5730128756180883","2.7451614833634168"
"1927",,,"13.321407380267553","10.392150079200837","5.822954345797581",,"1.9783074569310861",,,"2.9292573010667162","4.569195733403256",,,"3.8446468888664951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130560","320.74799999999999","23618",,"1.7932131487001131E-2","10087.906822440982",,,,,"134385.1163959167","209670.08336760144","587414.20871733781","1995698.1291660974",,,,"59100.149424231968","115234.05203016732","430938.21755636454",,,"48143.782069652159","75114.797463406576","218556.19281159074","1051673.4911707938",,,,,,,,,,,,,,,,,,,"1.5610529149805954","2.7823630771699781"
"1928",,,"13.623379289295437","10.608558960546437","5.9180709871260824",,"1.9756437945285494",,,"3.0148203287489999","4.6904879734203551",,,"3.9424271925975329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131880","326.71899999999999","23647.4",,"1.7627459350086059E-2","10172.196412848463",,,,,"138579.6899374451","215824.69080792379","601997.804662265","2009663.6719769635",,,,"61334.689066966392","119281.41234433847","445590.48607174284",,,"50007.300361860718","77881.615578801226","225368.4607308087","1074247.762361669",,,,,,,,,,,,,,,,,,,"1.5676553271296172","2.7616323712781123"
