"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51"
"Subcategory","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Top income shares","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Fractiles income levels","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient","0.050000","0.01","5.0000000000000001E-3"," 0.00250","0.001","5e-04","1e-04","5e-05"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variable","Top 5% income share","Top 1% income share","Top 0.50% income share","Top 0.25% income share","Top 0.1% income share","Top 0.05% income share","Top 0.01% income share","Top 0.005% income share","Top 5-1% income share","Top 1-0.5% income share","Top 0.5-0.1% income share","Top 0.1-0.05% income share","Top 0.05-0.01% income share","Top 0.1-0.01% income share","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Top 5% average income","Top 1% average income","Top 0.50% average income","Top 0.25% average income","Top 0.1% average income","Top 0.05% average income","Top 0.01% average income","Top 5-1% average income","Top 1-0.5% average income","Top 0.5-0.1% average income","Top 0.1-0.05% average income","Top 0.05-0.01% average income","Top 0.1-0.01% average income","P95 income threshold","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.95 income threshold","P99.99 income threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,,,,,,,
"Subvariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950",,,,,,,,,,,,,,,"20.246961327700664","15.772153327700664",,"12.5","1","792.53604376557928","617.37659284696008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951",,,,,,,,,,,,,,,"20.27280615570308","15.79228615570308",,"12.5","1","791.5256775844241","616.58952904669991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952",,,,,,,,,,,,,,,"20.589712975256489","16.039152975256489",,"12.8","1","798.04713002902884","621.66966656515751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953",,,,,,,,,,,,,,,"21.030305757392881","16.38236975739288",,"12.8","1","781.32774376086456","608.64545421553635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1954",,,,,,,,,,,,,,,"21.303522510561255","16.595202510561254",,"17.52","1","1055.726797479585","822.39920610849367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955","43.55160305502524","23.663557722141668","19.82683196293587","12.899385851442906",,,,,"19.888045332883571","3.8367257592057982",,,,,"22.07455987929994","17.195831879299938","4.3760000000000003","17.52","1","1018.8515521072459","793.67380803044216","8874.523673874226","24109.652513583442","40401.197037613529","52570.237183891411",,,,,"7818.1079895533567",,,,,"2205.820470069561","9697.1370359436987","16799.769570783137",,,,,,"2.165007","9.517713366473787","16.488927691219502","28.26269",,,,
"1956",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1957",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1958",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1959",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1961",,"28.144948971638772","19.394583136823304","12.445861234866957",,,,,,"8.7503658348154687",,,,,"26.4607964031382","20.6126604031382","1.4039999999999999","16.953600000000002","1","822.48480634837802","640.70633935981368",,"23148.792904623297","31903.499910995266","40946.127070393333",,,,,"14394.085898251327",,,,,,"11221.335619925223","17007.348672286036",,,,,,,"13.643213264625617","20.678009540132798","30.75394",,,,
"1962",,"27.798620072621016","19.689913876295034","11.942078346382708",,,,,,"8.1087061963259828",,,,,"27.002307085093545","21.034491085093546","1.4350000000000001","19.141500000000001","1","910.00537748046372","708.88387202169645",,"25296.893752621483","35835.855019111368","43469.422054005074",,,,,"14757.932486131602",,,,,,"11712.133030996458","18786.415284907504",,,,,,,"12.870399802937316","20.64429040729577","30.43569",,,,
"1963",,"28.601514522145465","19.985190616699541","11.99212100573005",,,,,,"8.616323905445924",,,,,"27.847186819553411","21.692642819553409","1.512","20.814299999999999","1","959.50964449745675","747.44713478148742",,"27443.429031232641","38351.96628768657","46026.223051914094",,,,,"16534.891774778713",,,,,,"12640.29195908132","19667.878633769946",,,,,,,"13.173699745041827","20.49784360851422","29.08558",,,,
"1964",,"27.387204912441462","19.512979229973809","12.227329951426308",,,,,,"7.8742256824676531",,,,,"28.770831744115874","22.412151744115874","1.6419999999999999","22.9512","1","1024.0516065587344","797.72459149339375",,"28045.911189738938","39964.59545840379","50085.667522727366",,,,,"16127.226921074094",,,,,,"12357.595234028458","19422.678775927387",,,,,,,"12.067355936831577","18.966503886650951","27.82609",,,,
"1965",,"27.14767091514625","19.283138170396231","11.765020526074007",,,,,,"7.8645327447500186",,,,,"29.404645383222693","22.905885383222692","1.7010000000000001","25.776599999999998","1","1125.3265075219467","876.61659115628254",,"30549.993698296661","43399.653062710262","52957.957838123511",,,,,"17700.334333883056",,,,,,"13244.014553307734","20738.590889948795",,,,,,,"11.769041664602788","18.428954397969996","26.33610",,,,
"1966",,"24.535806155509185","17.286629365691148","10.401683403877776",,,,,,"7.249176789818037",,,,,"30.026767314423658","23.390511314423659","1.831","29.303249999999998","1","1252.783644021081","975.90425546488621",,"30738.056644493667","43312.813059184773","52124.235354654411",,,,,"18163.300229802564",,,,,,"13521.374964585921","21012.131152535901",,,,,,,"10.793064731581371","16.772354310990927","24.00725",,,,
"1967",,"22.205684597059143","18.396611731887493","11.162385811251532",,,,,,"3.8090728651716503",,,,,"30.698732842486422","23.913964842486422","1.9430000000000001","33.78105","1","1412.6076634512467","1100.4053546225764",,"31367.920233987054","51974.389428002767","63072.286957493496",,,,,"10761.451039971342",,,,,,"15184.960520485132","23108.502005726852",,,,,,,"10.749595173075607","16.358754524429489","23.05716",,,,
"1968",,"25.612176753899604","15.380958881263552","11.423672432287557",,,,,,"10.231217872636051",,,,,"31.460539915509958","24.507403915509958","2.2029999999999998","40.390650000000001","1","1648.0999023498382","1283.8511388702368",,"42211.426007068731","50698.713660514673","75309.413680518643",,,,,"33724.138353622795",,,,,,"20734.756379377417","29729.319064075778",,,,,,,"12.581006982534303","18.03854185155167","24.54001",,,,
"1969",,"23.0329342543445","17.080450584537758","10.240616894188506",,,,,,"5.9524836698067425",,,,,"32.310957827398916","25.169869827398916","3.0680000000000001","53.138100000000001","1","2111.1789756717767","1644.5844869055588",,"48626.646545802403","72119.77633815365","86479.100339679921",,,,,"25133.516753451153",,,,,,"27881.823072117753","39243.334408333911",,,,,,,"13.206754800713076","18.588350329628824","26.17812",,,,
"1970","43.579138489680631","17.584495366219922","11.717981033144223","8.7847238666063738",,,,,"25.994643123460708","5.866514333075699",,,,,"33.294291997586001","25.935875997586002","2.6440000000000001","59.158650000000002","1","2280.9582373661192","1776.8406069211292","19880.438983071188","40109.499555505681","53456.450725700524","80150.353066090218",,,,"14823.173839962565","26762.548385310838",,,,,"6982.1716677323575","25909.37787166208","34404.357249967703",,,,,,"3.061069","11.358988273972216","15.083291174017853","20.02869",,,,
"1971","36.071120695802243","14.047164010024487","9.6713434579703836","7.4834331819433313",,,,,"22.023956685777755","4.3758205520541029",,,,,"34.222859746529878","26.659219746529875","2.7650000000000001","82.7","1","3102.1162954615252","2416.5134244336668","22379.362261201517","43575.936380517625","60003.264279950279","92857.920078815587",,,,"17080.218731372493","27148.608481084961",,,,,"7998.8116877166431","27822.100189466193","36424.753376578366",,,,,,"2.578502","8.9687482800598524","11.741904528166369","15.37253",,,,
"1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
