v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v97;v98;v99;v100;v101;v102;v103;v104;v105;v106;v107;v108;v109;v110;v111;v112;v113;v114;v115;v116;v117;v118;v119;v120;v121;v122;v123;v124;v125;v126;v127;v128;v129;v130;v131;v132;v133;v134;v135;v136;v137;v138;v139;v140;v141;v142;v143
Subcategory;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top income shares including capital gains;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Top composition;Number of adults;Number of tax units;Number of tax returns;Fiscal income control;Fiscal income control-incl. capital gains;Price index;Average income per tax unit;Average income per tax unit-including capital gains;Average income per adult;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Fractiles income levels-including capital gains;Pareto-Lorenz coefficient;Inverted Pareto-Lorenz coefficient;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top 10% income composition;;;;;;Top 5% income composition;;;;;;Top 1% income composition;;;;;;Top 0.5% income composition;;;;;;Top 0.1% income composition;;;;;;Top 0.01% income composition;;;;;;Top 10-5% income composition;;;;;;Top 5-1% income composition;;;;;;Top 1-0.5% income composition;;;;;;Top 0.5-0.1% income composition;;;;;;Top 0.1-0.01% income composition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variable;Top 10% income share;Top 5% income share;Top 1% income share;Top 0.5% income share;Top 0.1% income share;Top 0.05% income share;Top 0.01% income share;Top 10-5% income share;Top 5-1% income share;Top 1-0.5% income share;Top 0.5-0.1% income share;Top 0.1-0.05% income share;Top 0.05-0.01% income share;Top 0.1-0.01% income share;Top 10% income share-including capital gains;Top 5% income share-including capital gains;Top 1% income share-including capital gains;Top 0.5% income share-including capital gains;Top 0.1% income share-including capital gains;Top 0.05% income share-including capital gains;Top 0.01% income share-including capital gains;Top 10-5% income share-including capital gains;Top 5-1% income share-including capital gains;Top 1-0.5% income share-including capital gains;Top 0.5-0.1% income share-including capital gains;Top 0.1-0.05% income share-including capital gains;Top 0.05-0.01% income share-including capital gains;Top 0.1-0.01% income share-including capital gains;Top 10% income composition;Top 10% income composition;Top 10% income composition;Top 10% income composition;Top 10% income composition;Top 10% income composition;Top 5% income composition;Top 5% income composition;Top 5% income composition;Top 5% income composition;Top 5% income composition;Top 5% income composition;Top 1% income composition;Top 1% income composition;Top 1% income composition;Top 1% income composition;Top 1% income composition;Top 1% income composition;Top 0.5% income composition;Top 0.5% income composition;Top 0.5% income composition;Top 0.5% income composition;Top 0.5% income composition;Top 0.5% income composition;Top 0.1% income composition;Top 0.1% income composition;Top 0.1% income composition;Top 0.1% income composition;Top 0.1% income composition;Top 0.1% income composition;Top 0.01% income composition;Top 0.01% income composition;Top 0.01% income composition;Top 0.01% income composition;Top 0.01% income composition;Top 0.01% income composition;Top 10-5% income composition;Top 10-5% income composition;Top 10-5% income composition;Top 10-5% income composition;Top 10-5% income composition;Top 10-5% income composition;Top 5-1% income composition;Top 5-1% income composition;Top 5-1% income composition;Top 5-1% income composition;Top 5-1% income composition;Top 5-1% income composition;Top 1-0.5% income composition;Top 1-0.5% income composition;Top 1-0.5% income composition;Top 1-0.5% income composition;Top 1-0.5% income composition;Top 1-0.5% income composition;Top 0.5-0.1% income composition;Top 0.5-0.1% income composition;Top 0.5-0.1% income composition;Top 0.5-0.1% income composition;Top 0.5-0.1% income composition;Top 0.5-0.1% income composition;Top 0.1-0.01% income composition;Top 0.1-0.01% income composition;Top 0.1-0.01% income composition;Top 0.1-0.01% income composition;Top 0.1-0.01% income composition;Top 0.1-0.01% income composition;Number of adults;Number of tax units;Number of tax returns;Fiscal income control;Fiscal income control-incl. capital gains;Price index;Average income per tax unit;Average income per tax unit-including capital gains;Average income per adult;Top 10% average income;Top 5% average income;Top 1% average income;Top 0.5% average income;Top 0.1% average income;Top 0.01% average income;Bottom 90% average income;Top 10-5% average income;Top 5-1% average income;Top 1-0.5% average income;Top 0.5-0.1% average income;Top 0.1-0.01% average income;P90 income threshold;P95 income threshold;P99 income threshold;P99.5 income threshold;P99.9 income threshold;P99.99 income threshold;Top 10% average income-including capital gains;Top 5% average income-including capital gains;Top 1% average income-including capital gains;Top 0.5% average income-including capital gains;Top 0.1% average income-including capital gains;Top 0.01% average income-including capital gains;Bottom 90% average income-including capital gains;Top 10-5% average income-including capital gains;Top 5-1% average income-including capital gains;Top 1-0.5% average income-including capital gains;Top 0.5-0.1% average income-including capital gains;Top 0.1-0.01% average income-including capital gains;P90 income-including capital gains threshold;P95 income-including capital gains threshold;P99 income-including capital gains threshold;P99.5 income-including capital gains threshold;P99.9 income-including capital gains threshold;P99.99 income-including capital gains threshold;Pareto-Lorenz coefficient;Inverted Pareto-Lorenz coefficient;
Subvariable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1996.61;1447.2;;2135.21427;;8.09E-02;18236.13672;;13218.07316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021.82;1463.85;;2170.26648;;8.09E-02;18324.68069;;13267.54302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2047.03;1480.5;;2230.083805;;8.19E-02;18396.35333;;13305.03271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2072.24;1497.15;;2263.15326;;8.19E-02;18461.52704;;13338.06664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2097.45;1513.8;;2360.062702;;8.29E-02;18816.31606;;13580.36628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2122.66;1530.45;;2409.986518;;8.48E-02;18568.42808;;13387.94284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2147.87;1547.1;;2554.005374;;8.87E-02;18610.66007;;13405.16521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2173.08;1563.75;;2644.084775;;9.07E-02;18651.99274;;13421.98798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2198.29;1580.4;;2705.510733;;9.16E-02;18683.1617;;13431.74411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2223.5;1597.05;;2795.341143;;9.36E-02;18704.48486;;13434.67395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2242.16;1611.47;;2918.151109;;9.65E-02;18764.95114;;13486.61818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2260.82;1625.89;;3010.356483;;9.85E-02;18806.27929;;13524.71291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2279.48;1640.31;;3011.303109;;9.75E-02;18833.45072;;13552.51968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2298.14;1654.73;;2988.398022;;9.75E-02;18527.32244;;13340.23004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2316.8;1669.15;;3365.01148;;0.108307917;18613.62581;;13410.27863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2335.46;1683.57;;3881.818885;;0.12532721;18397.49602;;13262.2577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2354.12;1697.99;;4305.549626;;0.15627246;16225.9832;;11703.54834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2372.78;1712.41;;5405.236108;;0.196500462;16063.61691;;11592.94086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2391.44;1726.83;;6277.942182;;0.213520669;17026.59494;;12294.69899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2410.1;1741.25;;6792.297135;;0.217387111;17944.10309;;12964.26269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2439.58;1761.11;;5815.810119;;0.190844128;17303.93735;;12491.55064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2469.06;1780.97;;5456.6306;;0.163137143;18780.84368;;13546.90415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2498.54;1800.83;;5529.173613;;0.15664004;19601.29323;;14127.68933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2528.02;1820.69;;5903.220411;;0.161751862;20044.89116;;14436.40987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2557.5;1840.55;;6272.654268;;0.160748334;21201.04417;;15257.70551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2586.98;1860.41;;6357.348657;;0.156019178;21902.28269;;15750.88549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2616.46;1880.27;;6529.089346;;0.153009507;22694.15303;;16308.72825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2645.94;1900.13;;6876.504786;;0.153869478;23519.70952;;16890.21885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2675.42;1919.99;;7224.947748;;0.153726378;24478.64355;;17566.86832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2704.9;1939.85;;7172.969707;;0.151337569;24433.41061;;17522.70013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2730.054545;1955.077273;;6586.360383;;0.14350319;23475.77877;;16811.73792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2755.209091;1970.304545;;5814.115197;;0.132850244;22212.01282;;15884.24993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1933;31.163;21.92;9.979;7.188001;3.267;;0.935;9.243001;11.941;2.790999;3.921001;;;2.332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2780.363636;1985.531818;272.4;5858.667804;;0.126066941;23405.65545;;16714.60273;72932.02238;102610.3935;233565.0357;336573.3254;764662.7635;2200131.612;17902.72579;43253.65127;69871.73293;130556.7461;229550.9658;605166.2248;;;;;;;;;;;;;;;;;;;;;;;;;1.941513416;2.062119757;
