v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v97;v98;v99;v100;v101;v102;v103;v104;v105;v106;v107;v108;v109;v110;v111;v112;v113;v114;v115;v116;v117;v118;v119;v120;v121;v122;v123;v124;v125;v126;v127;v128;v129;v130;v131;v132;v133;v134;v135;v136;v137;v138;v139;v140;v141;v142;v143
1934;30.917;21.59;9.689;6.942;3.143;;0.911;9.327001;11.901;2.747;3.799;;;2.232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2805.518182;2000.759091;264.1;5791.838894;;0.124108346;23324.94808;;16634.21831;72120.73946;100717.1258;225995.4219;323750.2793;733103.1181;2122570.275;17903.19348;43524.35312;69397.55177;128240.5645;221412.0696;578717.8785;;;;;;;;;;;;;;;;;;;;;;;;;1.95669664;2.045263418;
1935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2830.672727;2015.986364;;5710.159114;;0.122435951;23134.04948;;16475.91678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1936;30.47;21.458;9.936;7.209;3.349;;0.983;9.011999;11.522;2.727;3.86;;;2.366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2855.827273;2031.213636;271.5;5702.73368;;0.124920313;22474.72696;;15985.20061;68480.49305;96461.52811;223308.8871;324085.5628;752678.6059;2202523.242;17362.97517;40499.45798;64749.68837;122532.2114;216937.302;591584.7574;;;;;;;;;;;;;;;;;;;;;;;;;1.895003307;2.117314308;
1937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2880.981818;2046.440909;;6274.492135;;0.129602378;23657.36653;;16804.48046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2906.136364;2061.668182;;6333.89561;;0.130939654;23462.85966;;16644.99706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1939;32.942;23.772;11.784;8.781;4.359;;1.52;9.17;11.988;3.003;4.422;;;2.839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2931.290909;2076.895455;677.234;6415.57539;;0.132754692;23268.64519;;16486.43718;76646.91726;110619.1392;274197.715;408597.4096;1014280.244;3536834.069;17337.72607;42674.69528;69724.49532;139798.0203;257176.701;733996.4856;;;;;;;;;;;;;;;;;;;;;;;;;1.760271649;2.315319336;
1940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2956.445455;2092.122727;;6957.632107;;0.14527068;22892.66402;;16199.94802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1941;32.592;22.702;10.535;7.666;3.71;;1.425;9.889999;12.167;2.869;3.956;;;2.285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2981.6;2107.35;1139.5;7759.57903;;0.165860157;22200.32936;;15690.85863;70534.295;98258.88288;228008.2227;332002.4809;802952.5451;3094938.382;16210.55138;42809.70712;65821.54792;124013.9645;214264.9649;548287.4522;;;;;;;;;;;;;;;;;;;;;;;;;1.829025045;2.206236176;
1942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3014.366667;2124.516667;;8331.337485;;0.184347024;21272.49611;;14992.79203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1943;33.244;23.357;10.486;7.503;3.443;;1.104;9.886998;12.871;2.983;4.06;;;2.339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3047.133333;2141.683333;1366.5;8992.201154;;0.193996899;21642.92574;;15211.77063;76833.12774;107991.6886;242380.3181;346719.8905;795837.722;2542612.53;17145.94066;45674.56691;74394.53117;138040.7457;234440.4326;601751.6322;;;;;;;;;;;;;;;;;;;;;;;;;1.936756497;2.067513279;
1944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3079.9;2158.85;;9400.60005;;0.197961636;21996.42357;;15418.35093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1945;31.577;21.949;10.011;7.154;3.261;;1.034;9.628001;11.938;2.857;3.893;;;2.227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3112.666667;2176.016667;1203;10024.33655;;0.199299369;23114.65937;;16159.09746;84752.69613;117816.4459;268669.804;383775.6664;875169.5442;2764258.297;20402.43287;51688.9464;80103.10632;153563.9415;260927.197;665270.794;;;;;;;;;;;;;;;;;;;;;;;;;1.949799155;2.052854169;
1946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3145.433333;2193.183333;;11004.4939;;0.199156269;25194.23381;;17566.91935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1947;32.286;22.215;9.985;7.131;3.232;;0.964;10.071;12.23;2.854;3.899;;;2.268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3178.2;2210.35;963.1;12341.0721;;0.208041724;26837.45919;;18664.70893;83791.38467;115320.1962;256252.6861;370041.8536;838692.3358;2491165.354;19522.77849;52262.57315;80087.07368;142463.5187;252879.2331;655084.2227;;;;;;;;;;;;;;;;;;;;;;;;;1.941995515;2.061576179;
1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3210.966667;2227.516667;;12831.15078;;0.214417216;26864.8855;;18636.74912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1949;31.288;21.653;9.939;7.18;3.366;;1.066;9.635001;11.714;2.759;3.814;;;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3243.733333;2244.683333;1092;12355.92297;;0.212123502;25949.6391;;17957.30919;88989.27598;123145.914;281834.9241;408400.768;957295.9506;3043097.644;21712.48589;54832.63793;83473.6615;155269.0803;271176.9723;725540.2068;;;;;;;;;;;;;;;;;;;;;;;;;1.883056847;2.132429926;
1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3276.5;2261.85;;12987.0849;;0.208650242;27518.76799;;18996.89467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1951;30.334;21.162;9.803;7.076;3.299;;1.046;9.171999;11.359;2.727;3.777;;;2.253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3321.55;2286.775;1146.7;14204.85616;;0.218414413;28440.1649;;19580.09306;91709.34136;127963.7101;295721.0498;428158.3494;997524.29;3174903.015;23406.93048;55454.97265;86024.37514;163283.7502;285816.8642;755593.3206;;;;;;;;;;;;;;;;;;;;;;;;;1.893791476;2.118829198;
1952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3366.6;2311.7;;15051.35569;;0.223918961;29077.24634;;19966.09944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1953;29.724;20.921;9.807;7.06;3.243;;0.9670001;8.803002;11.114;2.747;3.817;;;2.2759999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3411.65;2336.625;905.3;15704.79392;;0.222280855;30237.17157;;20709.31397;98476.73727;138636.1604;324110.0705;467863.9065;1074562.783;3214079.245;25874.6265;58317.31413;92267.68289;180356.2344;316189.1876;836838.7312;;;;;;;;;;;;;;;;;;;;;;;;;1.92108465;2.085676545;
1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3456.7;2361.55;;16751.78018;;0.224377978;31614.30147;;21598.27397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1955;30.994;21.793;10.106;7.237;3.308;;1.026;9.200999;11.687;2.869;3.929;;;2.282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3501.75;2386.475;955.94;17887.87166;;0.226212675;33134.83757;;22581.69815;110368.3925;155206.6649;359917.0618;515693.5538;1178117.594;3668262.158;27308.17384;65530.1201;104029.0657;204140.5698;350087.5438;901434.8647;;;;;;;;;;;;;;;;;;;;;;;;;1.941799579;2.061797034;
1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3546.8;2411.4;;19127.91922;;0.229358131;34584.72543;;23513.47889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1957;31.467;22.354;10.535;7.581;3.505;;1.086;9.112999;11.819;2.954;4.076;;;2.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3591.85;2436.325;1185.4;20315.98873;;0.234142149;35614.19571;;24156.84267;120881.2899;171699.8302;404666.1547;582319.7821;1346326.409;4186863.869;29248.29571;70062.74951;113458.2491;227012.5272;391318.1253;1030711.136;;;;;;;;;;;;;;;;;;;;;;;;;1.915512555;2.09228431;
1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3636.9;2461.25;;21177.33913;;0.238139347;36131.37622;;24451.68955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1959;31.564;22.696;10.866;7.849;3.616;;1.056;8.868001;11.83;3.017;4.233;;;2.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3681.95;2486.175;1285.2;22622.93119;;0.236894423;38411.59513;;25936.78554;137107.0251;197232.5392;472054.7955;682059.6621;1570909.387;4604988.802;33036.20897;76981.51091;128526.9752;262049.9288;459847.2308;1233789.453;;;;;;;;;;;;;;;;;;;;;;;;;1.915126492;2.09274511;
1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3727;2511.1;;24380.24121;;0.23977791;40491.58896;;27281.57473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1961;31.723;22.825;10.91;7.875;3.635;;1.117;8.897998;11.915;3.035;4.24;;;2.518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3789.57;2546.32;1299.1;27212.9782;;0.246002986;43443.29058;;29190.78409;151379.0881;217905.7112;520663.8874;752123.0857;1734750.899;5345037.157;36206.2636;84852.46487;142216.1672;289204.689;506466.1324;1333607.981;;;;;;;;;;;;;;;;;;;;;;;;;1.913217727;2.095029115;
1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3852.14;2581.54;;30221.05654;;0.254783746;45947.20169;;30791.85571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1963;31.6;22.595;10.672;7.669;3.498;;1.048;9.005003;11.923;3.003;4.171;;;2.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3914.71;2616.76;1530.6;32979.76052;;0.264089357;47723.54605;;31900.46424;163042.5736;233212.7951;550629.856;791478.8223;1804819.374;5417553.869;39212.77086;92872.35203;153858.5299;309780.8898;538143.6843;1403404.431;;;;;;;;;;;;;;;;;;;;;;;;;1.939585825;2.06429873;
1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3977.28;2651.98;;36291.76388;;0.271953454;50320.30371;;33552.68903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965;32.286;23.013;10.859;7.804999;3.579;;1.081;9.273;12.154;3.054001;4.225999;;;2.498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4039.85;2687.2;1783.95;39077.74318;;0.281848381;51595.75113;;34320.1115;170812.5457;243443.5848;574435.8729;826290.4812;1893273.772;5713148.013;39798.07119;98181.5066;160695.5127;322581.2647;559544.6584;1468843.301;;;;;;;;;;;;;;;;;;;;;;;;;1.93060679;2.074567702;
1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4102.42;2722.42;;42093.61447;;0.29586669;52259.47229;;34680.07482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;32.696;23.32;11.001;7.915;3.658;;1.139;9.375999;12.319;3.086;4.257;;;2.519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4164.99;2757.64;1817.683;44809.45723;;0.307171128;52899.51864;;35024.77283;186757.3887;266372.0064;628292.9765;904659.6444;2089169.81;6510808.047;42707.34713;107142.771;175891.7639;351926.3086;608532.1029;1597876.673;;;;;;;;;;;;;;;;;;;;;;;;;1.916400712;2.091225691;
1968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4227.56;2792.86;;48199.39008;;0.315609454;54681.746;;36124.49288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;32.494;23.026;10.809;7.785;3.622;;1.139;9.468001;12.217;3.024;4.163;;;2.483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4290.13;2828.08;2036.88;52172.09316;;0.323010418;57112.35129;;37648.81214;207687.889;294432.2612;690950.567;995930.228;2315314.047;7287294.351;47949.82862;120943.5168;195302.6848;385970.9061;666084.2732;1762871.791;;;;;;;;;;;;;;;;;;;;;;;;;1.904170962;2.105985529;
1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4352.7;2863.3;;57961.10264;;0.335889871;60266.07085;;39644.32207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971;30.962;21.514;9.767;6.974999;3.199;;1.044;9.447999;11.747;2.792001;3.775999;;;2.155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4380.7;2889.65;2288.182;65900.13034;;0.356762805;63923.63466;;42166.0764;205280.8713;285244.9317;647602.8005;925620.4664;2121103.06;6895739.864;50863.44874;125316.811;194655.4645;369585.1346;626749.8179;1590587.86;;;;;;;;;;;;;;;;;;;;;;;;;1.940793937;2.06293202;
1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4408.7;2916;;74265.55548;;0.380891834;66864.9082;;44225.75188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;30.288;20.47;8.787;6.147;2.679;;0.8279999;9.818;11.683;2.64;3.468;;;1.8510001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4436.7;2942.35;2420.626;81529.54828;;0.417900772;66305.191;;43972.56491;190266.0244;257163.7848;551953.6338;772622.0207;1682808.45;5213628.27;48653.5511;123368.2641;183466.3225;331285.2469;545075.4134;1290495.137;;;;;;;;;;;;;;;;;;;;;;;;;2.065551998;1.938480714;
1974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4464.7;2968.7;;89646.38774;;0.455501313;66294.40072;;44080.94327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;29.925;20.121;8.494;5.901;2.559;;0.789;9.804;11.627;2.593;3.342;;;1.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4492.7;2995.05;2542.273;90680.31908;;0.481999949;62814.79843;;41875.36716;191080.7973;256902.4819;542278.7478;753342.268;1633731.24;5043562.641;49704.98373;125259.1127;185558.4154;331215.2276;533245.0248;1254861.085;;;;;;;;;;;;;;;;;;;;;;;;;2.087865614;1.919231187;
1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4520.7;3021.4;;92695.51991;;0.491918193;62367.39942;;41683.11558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;29.889;20.06;8.396;5.815;2.509;;0.76;9.829;11.664;2.581;3.306;;;1.749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4548.7;3047.75;2665.568;96869.34641;;0.497847925;63842.56508;;42776.21688;194366.7344;260889.7084;545969.5891;756918.2965;1631536.088;4942078.225;50656.3018;127843.7604;189619.7382;335020.8818;538263.8487;1263698.072;;;;;;;;;;;;;;;;;;;;;;;;;2.103366889;1.906316847;
1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4576.7;3074.1;;100342.2212;;0.502665776;64936.12994;;43616.61395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979;29.866;20.018;8.397;5.846;2.58;;0.835;9.847999;11.621;2.551;3.266;;;1.745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4604.7;3100.45;2790.08;104464.2487;;0.518139773;65027.34506;;43784.40115;196716.8737;263694.1286;553006.8926;770534.7914;1699128.001;5532044.656;51317.76346;129739.6187;191365.9376;335478.9938;538386.4888;1273248.373;;;;;;;;;;;;;;;;;;;;;;;;;2.051300764;1.951202581;
1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4632.7;3126.8;;111741.5755;;0.542599349;65862.07648;;44453.02755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;29.875;19.998;8.386;5.85;2.621;;0.858;9.877003;11.612;2.536;3.229;;;1.763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4699.17;3180.53;2904.463;120345.7945;;0.574546298;65857.67448;;44574.32044;193703.1967;259308.1616;543639.5607;758476.3726;1699116.729;5575125.474;50507.46747;128098.2318;188225.3118;328802.7489;523316.2835;1268449.09;;;;;;;;;;;;;;;;;;;;;;;;;2.020560566;1.979853654;
1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4765.64;3234.26;;127786.8745;;0.608739871;64905.21162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1983;30.352;20.636;9.051;6.482;3.16;;1.251;9.716;11.585;2.569;3.322;;;1.909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4832.11;3287.99;3106.149;133997.3504;;0.62865088;64827.04039;;44111.30138;193355.8305;262989.4129;576627.223;825664.436;2013194.149;7963584.452;49303.43618;123722.248;184579.9604;327590.01;528782.0076;1352039.671;;;;;;;;;;;;;;;;;;;;;;;;;1.841652786;2.188138406;
1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4898.58;3341.72;;141945.9084;;0.64624303;65728.98836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;30.781;20.927;9.07;6.405;2.938;;0.964;9.854001;11.857;2.665;3.467;;;1.974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4965.05;3395.45;3112.537;144505.4009;;0.668017997;63708.67561;;43568.46811;200193.6258;272258.1279;589914.2904;833814.9067;1910880.028;6243855.775;50023.11305;128129.1237;192844.0872;346013.6742;564548.6263;1429438.278;;;;;;;;;;;;;;;;;;;;;;;;;1.959076827;2.042669338;
1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5031.52;3449.18;;152109.8371;;0.672919056;65535.80151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;30.776;20.962;9.218;6.59;3.153;;1.145;9.814;11.744;2.628;3.437;;;2.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5097.99;3502.91;3227.082;155843.8246;;0.684036047;65040.16433;;44690.13121;207138.1716;282106.3078;620337.7732;886965.9201;2121853.98;7739080.486;51758.3721;132170.0354;197548.4415;353709.6264;578243.905;1497717.702;;;;;;;;;;;;;;;;;;;;;;;;;1.872353194;2.146324685;
1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5164.46;3556.64;;165623.1273;;0.696019411;66905.1765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989;29.99;20.143;8.601;6.091;2.854;;1;9.847;11.542;2.51;3.237;;;1.854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5230.93;3610.37;3272.566;175273.5885;;0.721395192;67296.35205;;46447.71208;205073.1234;275436.6592;588140.6917;832874.5059;1951579.507;6838050.13;53192.43218;134709.5876;197260.6511;343406.8775;553198.2555;1408638.327;;;;;;;;;;;;;;;;;;;;;;;;;1.919735767;2.087268797;
1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5297.4;3664.1;;189099.3786;;0.758729192;68019.90014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;29.649;19.869;8.483;6.01;2.822;;0.98;9.780002;11.386;2.473;3.188;;;1.842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5321.6304;3684.90395;3393.196;201677.0115;;0.800383164;68380.5013;;47349.31974;194847.6197;261154.9547;553262.0944;789905.0214;1854502.471;6440157.412;51367.92222;128540.2847;188128.1697;316619.1675;523755.6589;1344985.256;;;;;;;;;;;;;;;;;;;;;;;;;1.903686775;2.106578106;
1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5345.8608;3705.7079;;205883.3066;;0.832884226;66706.06377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
