v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163
1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,,,25.38584467174798,,11.34476531769083,,7.818127942585118,,3.125206942606547,,,,,,14.04107935405716,,3.526637375105707,,4.692920999978571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.5023702853643,669,,,192,,0.02278228905597326,12597.30815415232,,,8586.427715582229,,,63958.66161669102,,142913.5046434911,,196974.7337626673,,393691.949015109,,,,,,,44219.95085999101,,88852.27552431494,,147795.4299495568,,,,,,,,,,,,,,,,,,,,,,,,,,,2.272297270979726,1.785979835695124
1922,,,23.83892619359081,,10.46734688356879,,7.223556572146554,,2.885719682180333,,,,,,13.37157931002203,,3.243790311422232,,4.337836889966221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.377624448925,688,,,203,,0.02043868003341687,14436.2619823036,,,9839.873604536646,,,68828.9967814953,,151109.3618708481,,208562.3102389972,,416590.0533944517,,,,,,,48258.9055091571,,93656.41350269904,,156555.3744501336,,,,,,,,,,,,,,,,,,,,,,,,,,,2.270572680678578,1.78704667210846
1923,,,24.71826250557766,,10.94385552461837,,7.538283736126003,,2.961330818077126,,,,,,13.77440698095929,,3.40557178849237,,4.576952918048876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.851522691923,704,,,214,,0.02031010860484544,14966.79700938438,,,10201.49059483882,,,73990.64346913155,,163794.464136993,,225647.9249554831,,443216.3723179454,,,,,,,51539.68830216619,,101941.0033185028,,171255.8131148676,,,,,,,,,,,,,,,,,,,,,,,,,,,2.313119730642004,1.761545178756156
1924,33.72780397171342,,24.47242437814063,,10.8853444590734,,7.506644486744413,,2.912226942466971,,,,9.255379593572794,,13.58707991906722,,3.37869997232899,,4.594417544277443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057.792539575109,721,,,231,,0.02154235588972431,14872.48428884179,,,10137.20627729341,50161.62346664434,,72793.14941475303,,161892.1144462002,,223284.9043820542,,433120.4944738178,,,10951.4688246415,,27530.09751853565,,50518.40815689125,,100499.3245103462,,170826.0068591133,,,,,,,,,,,,,,,,,,,,,,,,,,,2.339821445878466,1.746368109777748
1925,34.97473038881916,,25.15544490249896,,11.08174755983086,,7.604211020966077,,2.918496232736532,,,,9.819285486320204,,14.07369734266809,,3.477536538864785,,4.685714788229546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.134912378856,741,,,233,,0.02208095238095238,14240.32535345431,,,9706.321604390107,49805.15398861303,,71644.34396449575,,157807.6907368398,,216572.8779897598,,415603.3589699891,,,10288.67772732556,,27965.9640127303,,50103.50727140973,,99042.50348391988,,166815.2577447024,,,,,,,,,,,,,,,,,,,,,,,,,,,2.377833545060062,1.725777074876202
1926,35.73319609735671,,25.17534607910189,,10.83986995199254,,7.364714473188014,,2.785508635381489,,,,10.55785001825483,,14.33547612710935,,3.475155478804524,,4.579205837806525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116.477285182604,761,,,232,,0.02194628237259816,13891.28320128309,,,9468.411634050808,49637.99466753657,,69943.57241502323,,150579.7033682073,,204610.6688872862,,386942.8931370385,,,9919.426371699368,,29332.41692004993,,49784.53967672721,,96548.73784912835,,159027.6128248481,,,,,,,,,,,,,,,,,,,,,,,,,,,2.439735857452551,1.694571851373756
1927,35.68978809491423,,24.9852400464075,,10.64364243311067,,7.196541880435971,,2.69300460917216,,,,10.70454804850673,,14.34159761329683,,3.447100552674696,,4.503537271263811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142.885420705977,779,,,240,,0.02167702589807853,14212.61813533834,,,9687.436139127105,50724.53295241603,,71021.1351598706,,151274.0254708854,,204563.4032832124,,382746.4614686999,,,10155.7387112186,,30427.93074496148,,50957.9125821169,,97984.64765855842,,160017.6387368405,,,,,,,,,,,,,,,,,,,,,,,,,,,2.480485890591047,1.67545392114529
1928,35.84771897181638,,25.41742529590404,,11.46801689262699,,7.979995138072944,,3.174732832379566,,,,10.43029367591234,,13.94940840327704,,3.488021754554051,,4.805262305693378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163.425081668601,793,,,254,,0.02181161236424394,14684.95968214513,,,10009.38797987698,52642.23077979927,,74650.77313885732,,168407.3657023867,,234371.8137326307,,466208.2364507635,,,10467.48511573912,,30633.68842074122,,51211.62499797497,,102442.9176721427,,176412.7080530976,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26132372865903,1.792817876393355
1929,36.54358150453662,,25.48153790268812,,10.98952658609094,,7.478644321704255,,2.876746292821763,,,,11.0620436018485,,14.49201131659718,,3.510882264386684,,4.601898028882492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.497623991037,806,,,247,,0.02167702589807853,14137.16135894777,,,9636.004186506738,51662.25083634934,,72047.32260088909,,155360.710606014,,211453.6030442231,,406690.2653037607,,,9967.706972569815,,31277.17907180959,,51218.97559960786,,99267.81816780493,,162644.4374793387,,,,,,,,,,,,,,,,,,,,,,,,,,,2.392787689429442,1.717984519528351
1930,38.38049599732575,,26.16621525586748,,10.56829797119673,,7.056451153519575,,2.596034483778904,,,,12.21428074145826,,15.59791728467075,,3.51184681767716,,4.46041666974067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205.971522234035,822,,,211,,0.02069557226399332,12403.18432815253,,,8454.111336604861,47604.03664607513,,64908.87819772821,,131080.5477715935,,175044.9287194156,,321990.9422455004,,,8491.978515050012,,30299.19509442207,,48365.9608042619,,87116.16682377135,,138308.4253378944,,,,,,,,,,,,,,,,,,,,,,,,,,,2.562096197224982,1.640165440372027
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229.445420477033,838,,,189,,0.01907702589807853,11822.43993613344,,,8058.271234713092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247.050844159282,850,,,175,,0.01732898913951545,11880.80569983745,,,8098.053814052796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,38.1266630167534,,25.99355601808092,,10.85715323401084,,7.390544702046414,,2.812849599500091,,,,12.13310699867248,,15.13640278407008,,3.466608531964422,,4.577695102546323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.656267841531,862,,,192,,0.01719958228905598,12950.1877012007,,,8826.953285486585,49374.74424873833,,67324.28589116457,,140602.1722811385,,191417.8822112309,,364269.3028877339,,,8903.014751474293,,31425.2026063121,,49004.81429367109,,89786.46235104612,,148205.0270421052,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41878597083259,1.704827944847219
1934,37.97457743945832,,25.64031159153239,,10.42310403934164,,6.963720195987709,,2.49491755012701,,,,12.33426584792593,,15.21720755219075,,3.459383843353929,,4.468802645860698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.794572883592,873,,,199,,0.01750167084377611,13024.44784377158,,,8877.569602760967,49459.79032494898,,66790.18020439311,,135755.1749306101,,181397.2209825215,,324949.2350613961,,,8976.076456974091,,32129.40044550486,,49548.93152283887,,90113.12887869864,,145509.2174628028,,,,,,,,,,,,,,,,,,,,,,,,,,,2.638110873350035,1.610459289580894
1935,,,24.64779975295369,,10.36089621230485,,6.929195634613087,,2.765302738213287,,,,,,14.28690354064885,,3.431700577691759,,4.1638928963998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.465759285466,883,,,231,,0.01817067669172932,14397.27085890314,,,9813.296937638401,,,70972.20982385603,,149168.6291095364,,199523.0127717076,,398128.1252892321,,,,,,,51423.10500243593,,98814.24544736522,,149871.7346423265,,,,,,,,,,,,,,,,,,,,,,,,,,,2.345516318208273,1.743209120890951
1936,34.4926742609236,,24.15204837859625,,10.6632032582473,,7.280825406438233,,2.80823533736602,,,,10.34062588232735,,13.48884512034895,,3.382377851809068,,4.472590069072212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314.538301607902,896,,,289,,0.01905547201336675,16926.61523319333,,,11537.31863909203,58384.42255785249,,81762.48599959392,,180491.9387056855,,246479.4604696769,,475339.190398515,,,12320.19219712009,,35006.35911611108,,57080.12282307102,,114504.4169416942,,189264.5279874673,,,,,,,,,,,,,,,,,,,,,,,,,,,2.377862222597368,1.72576196923008
1937,30.3585594726367,,20.51398106262355,,8.331210468666251,,5.484767174890137,,1.913302068872707,,,,9.844578410013149,,12.1827705939573,,2.846443293776114,,3.571465106017429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310.13694568734,893,,,318,,0.02039340016708438,17461.6797884935,,,11902.02299267575,53011.14443511183,,71641.71370055043,,145476.929454395,,191546.4962447434,,334094.6806531736,,,13511.73927220258,,34380.57516967323,,53182.90976208931,,99407.36266404651,,155909.4501426359,,,,,,,,,,,,,,,,,,,,,,,,,,,2.769504382985872,1.56512999324285
1938,27.63762138632364,,18.4681934632191,,7.321330120153354,,4.786406747953737,,1.6635954575321,,,,9.169427923104539,,11.14686334306575,,2.534923372199617,,3.122811290421637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.202708406965,891,,,350,,0.02078187134502924,18901.90988876866,,,12883.69554513626,52240.38289841949,,69816.82573002276,,138387.1221970665,,180944.4580816315,,314451.3142963662,,,15197.63510991856,,34663.94006681623,,52674.25161326182,,95829.78631250146,,147567.7440279478,,,,,,,,,,,,,,,,,,,,,,,,,,,2.805381672587159,1.553899496812203
1939,29.7192751764568,,19.92248779885777,,7.846172467304082,,5.145780295327788,,1.862363205184028,,,,9.796787377599031,,12.07631533155368,,2.700392171976294,,3.28341709014376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.202708406965,891,,,372,,0.0218609022556391,19098.40740451231,,,13017.62985035275,56759.08250867813,,76097.55769880224,,149849.3983466409,,196552.4169885635,,355681.7122777791,,,14913.88794849388,,37420.607318554,,57659.59753684259,,103146.3797047182,,156770.0931662596,,,,,,,,,,,,,,,,,,,,,,,,,,,2.663778899366764,1.601041400621562
1940,28.66518513245702,,19.16055080427896,,7.417102430798673,,4.831540680452112,,1.67124815362117,,,,9.504634328178067,,11.74344837348028,,2.585561750346561,,3.160292526830942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296.932877925653,884,,,405,,0.02263776106934002,20238.07897683794,,,13794.4392651524,58012.82805963459,,77554.54808334264,,150107.9047738002,,195562.2037415903,,338228.5212287983,,,16040.88463430498,,38471.10803592655,,59416.20891072825,,104653.6058060101,,159895.6243697883,,,,,,,,,,,,,,,,,,,,,,,,,,,2.834413583106062,1.545133338092047
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274.926098322843,869,,,,,0.02365204678362573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.656267841531,862,,,,,0.02425630743525481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245.583725519095,849,,,,,0.02419548872180451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.116606878907,848,,,,,0.02419548872180451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,25.26113634833797,,17.0796625737567,,6.880597102114587,,4.494628786221089,,1.59861004961457,,,,8.181473774581278,,10.19906547164211,,2.385968315893498,,2.896018736606519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255.853556000406,856,,,618,,0.02419548872180451,29838.72841435152,,,20338.32002198562,75376.01869359602,,101927.082589418,,205308.2682585712,,268228.015350755,,477004.9111090216,,,24779.02949443546,,48824.95479777403,,76081.78617212972,,142388.5211663875,,216033.7914111883,,,,,,,,,,,,,,,,,,,,,,,,,,,2.731371692080268,1.577576729811544
1946,27.1023815978424,,18.54358660524586,,7.50275599465887,,4.899975413068662,,1.761424071934524,,,,8.558794992596532,,11.04083061058699,,2.602780581590208,,3.138551341134138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.998640645279,882,,,663,,0.02439381787802841,30815.2124456569,,,21003.89948131323,83516.56467207755,,114284.9121490178,,231199.019903339,,301987.5666644126,,542786.5698355641,,,24959.50664272127,,52748.21719513732,,85056.38521043751,,160410.4731422654,,241787.8158716246,,,,,,,,,,,,,,,,,,,,,,,,,,,2.698013229907267,1.588923562188389
1947,28.43621507315079,,19.54135103802913,,7.717318096035166,,5.031676689040301,,1.766235905778134,,,,8.894864035121657,,11.82403294199396,,2.685641406994865,,3.265440783262167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.604064327527,894,,,750,,0.02637702589807853,31805.18447145161,,,21678.67246740811,90441.90660714336,,124303.2549171818,,245450.7256692702,,320066.8105912593,,561754.5880337497,,,25289.99312304141,,56580.55829710494,,94016.38722915969,,170834.6407472811,,259644.8662306367,,,,,,,,,,,,,,,,,,,,,,,,,,,2.781004455874081,1.561480908541141
1948,28.79578874566923,,19.66680750817791,,7.736735350909353,,5.087652660030324,,1.866731635351657,,,,9.128981237491324,,11.93007215726855,,2.649082690879029,,3.220921024678667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.742369369588,905,,,789,,0.02855856307435255,30527.55848219981,,,20807.83219978762,87906.51249744886,,120075.9232728135,,236183.640886188,,310627.2282323903,,569867.5916877021,,,24152.11914717214,,55737.10172208424,,91048.99386946985,,161740.0535399856,,245817.1373685623,,,,,,,,,,,,,,,,,,,,,,,,,,,2.614214056555237,1.6194965258412
1949,29.55739915169619,,20.32012823882313,,8.017575945803948,,5.261143703727855,,1.915955382111537,,,,9.237270912873061,,12.30255229301918,,2.756432242076093,,3.345188321616318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.347793051837,917,,,888,,0.02895522138680033,33443.88645412036,,,22795.62506945497,98851.43011084408,,135916.8123104731,,268138.8995687539,,351906.1852925693,,640769.9425049904,,,26176.38160337328,,61786.04791121507,,102861.2904959029,,184371.6138449385,,279690.2459894639,,,,,,,,,,,,,,,,,,,,,,,,,,,2.643109102030327,1.608602312995734
1950,31.32318428284857,,22.58953095169624,,9.436938671593644,,6.166061410047844,,2.232025978788191,,,,8.733653331152325,,13.1525922801026,,3.270877261545801,,3.934035431259653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.018979453711,927,,,1104,,0.03153341687552214,37767.50600888192,,,25742.63933014851,118299.8550619799,,170630.0491912024,,356409.6379848631,,465753.5227102338,,842980.5456586357,,,28819.46722520436,,65969.66093275741,,124185.1519927872,,247065.7532594925,,371446.7669731333,,,,,,,,,,,,,,,,,,,,,,,,,,,2.674740013386208,1.597107605960921
1951,29.32130072718365,,20.11235039053896,,7.882756749498751,,5.113423402201247,,1.854246623899725,,,,9.208950336644683,,12.22959364104021,,2.769333347297504,,3.259176778301522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.62440313596,939,,,1138,,0.03515363408521303,34475.17202906754,,,23498.55770673334,101085.6886685679,,138675.3479245429,,271759.3950022627,,352572.3028966956,,639254.7134326071,,,27074.00351356749,,63496.02941259296,,105404.3361551129,,190946.4871078297,,280901.7002627177,,,,,,,,,,,,,,,,,,,,,,,,,,,2.691867051114373,1.591062991232872
1952,30.1395685382051,,20.58989684905644,,7.94304891242864,,5.106374511394418,,1.831830765168206,,,,9.549671689148656,,12.6468479366278,,2.836674401034222,,3.274543746226212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405.49965729952,958,,,1208,,0.03655981620718463,34490.33569762387,,,23508.8933865761,103952.3836664237,,142030.4908606809,,273958.42345231,,352241.1421915671,,631804.5803188663,,,26772.33036775723,,65874.27647216638,,109048.5077127737,,195675.7047130529,,282350.2826597423,,,,,,,,,,,,,,,,,,,,,,,,,,,2.755594387788826,1.56960765365598
1953,,35.93043477532694,,24.82767056292355,,9.896712472511467,,6.410968730475198,,2.325849338903569,,,,11.10276421240338,,14.93095809041209,,3.485743742036269,,4.085119391571629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,,1432,,1333,,0.03880960735171261,,23985.45064761217,,23985.45064761217,,86180.76700508523,,119100.5733964353,,237377.1085830316,,307539.9481763954,,557865.4453205295,,,17074.85994122627,,53260.96061373519,,89531.4395997862,,167214.2689896678,,244958.5738903619,,,,,,,,,,,,,,,,,,,,,,,,,,2.694759526626277,1.590054213762515
1954,,35.3965781059859,,24.29103599302952,,9.542887346140489,,6.15247698246381,,2.201599654547959,,,,11.10554211295637,,14.74814864688904,,3.390410363676679,,3.950877327915851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459,,1459,,1444,,0.03965329991645782,,24959.30950744919,,24959.30950744919,,88347.41484519017,,121257.4971213225,,238183.8788670409,,307123.1544855426,,549504.0718935572,,,17916.18669214464,,55437.33256905788,,92025.90168489286,,169244.6032485392,,246527.9251335389,,,,,,,,,,,,,,,,,,,,,,,,,,2.75437665945568,1.570003023358886
1955,,34.12513553090428,,22.88908612099351,,8.75596031647294,,5.605310476120882,,1.980894806418104,,,,11.23604940991077,,14.13312580452057,,3.150649840352059,,3.624415669702778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487,,1487,,1520,,0.040496992481203,,25241.19128184536,,25241.19128184536,,86135.90734544523,,115549.5602093258,,221010.8692043407,,282969.4278437977,,500001.447180134,,,18475.11171922314,,56722.25448156467,,89184.23296057207,,159052.3105648837,,228711.4230097136,,,,,,,,,,,,,,,,,,,,,,,,,,2.820415974538895,1.549324997136051
1956,,35.03978378217618,,23.52552390886972,,8.9098491412797,,5.737853224288623,,2.097636602488527,,,,11.51425987330646,,14.61567476759002,,3.171995916991078,,3.640216621800096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514,,1514,,1622,,0.0419969089390142,,25509.83491566914,,25509.83491566914,,89385.90997640553,,120026.4462439788,,227288.7807175616,,292743.3770438854,,535103.6344254742,,,18412.49324225399,,58745.37370883225,,93210.8626255831,,161834.1843912379,,232153.3126984882,,,,,,,,,,,,,,,,,,,,,,,,,,2.689184811522758,1.592001534218464
1957,,33.94163651497987,,22.68924027064451,,8.653482997422282,,5.605774758577186,,1.996932059111535,,,,11.25239624433536,,14.03575727322223,,3.047708238845096,,3.608842699465651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1541,,1541,,1735,,0.0427468671679198,,26338.59162869071,,26338.59162869071,,89397.49033775117,,119520.5267707499,,227920.5548349239,,295296.4242571735,,525963.7801517918,,,19332.04732768399,,59274.45390475242,,92420.51975470642,,160544.6854126743,,237629.5852835189,,,,,,,,,,,,,,,,,,,,,,,,,,2.753513627703772,1.570283563355878
